dataset,idx_global,is_filtrada,k,percentil_dist,percentil_densidad,percentil_entropia,criterio_pureza,modo_espacial,radio_densidad,riesgo,densidad,entropia,proporcion_min,pasa_pureza,pasa_densidad,umbral_entropia,umbral_densidad,vecinos_all,dist_all,vecinos_min,dist_min,vecinos_validos_por_percentil,thr_dist_percentil,synthetics_from_this_seed,last_delta,last_neighbor_z,timestamp,clase_objetivo
glass,7,False,5,50.0,25.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,0.3,"[121, 120, 150, 6, 31]",,"[121, 45, 139, 9, 102]",,3,0.7188030116408483,0,,,2025-09-29T00:37:39.202628,3
glass,9,False,5,50.0,25.0,,proporcion,2d,1.0,1.0,1.0,,0.0,False,True,,0.3,"[76, 16, 74, 37, 111]",,"[143, 139, 102, 153, 121]",,3,0.5765435063524058,0,,,2025-09-29T00:37:39.202628,3
glass,15,False,5,50.0,25.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,False,,0.3,"[50, 159, 10, 13, 26]",,"[163, 169, 58, 45, 168]",,3,1.5354786819005746,0,,,2025-09-29T00:37:39.202628,3
glass,21,False,5,50.0,25.0,,proporcion,2d,1.0,0.8,0.2,,0.2,False,False,,0.3,"[161, 167, 168, 123, 1]",,"[168, 58, 7, 121, 45]",,3,0.7553792977804442,0,,,2025-09-29T00:37:39.202628,3
glass,45,True,5,50.0,25.0,,proporcion,2d,1.0,0.6,1.0,,0.4,True,True,,0.3,"[77, 107, 7, 121, 29]",,"[7, 121, 169, 139, 9]",,3,0.9643759308650648,0,,,2025-09-29T00:37:39.202628,3
glass,58,False,5,50.0,25.0,,proporcion,2d,1.0,1.0,1.0,,0.0,False,True,,0.3,"[71, 103, 79, 83, 90]",,"[102, 139, 143, 9, 7]",,3,0.9219694314401171,0,,,2025-09-29T00:37:39.202628,3
glass,102,False,5,50.0,25.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,0.3,"[139, 97, 17, 71, 132]",,"[139, 143, 9, 58, 7]",,3,0.30986970738125885,0,,,2025-09-29T00:37:39.202628,3
glass,121,False,5,50.0,25.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,0.3,"[7, 120, 150, 31, 6]",,"[7, 45, 9, 139, 102]",,3,0.7350731770769507,0,,,2025-09-29T00:37:39.202628,3
glass,139,False,5,50.0,25.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,0.3,"[102, 97, 132, 17, 124]",,"[102, 143, 9, 58, 7]",,3,0.3682554256573937,0,,,2025-09-29T00:37:39.202628,3
glass,143,False,5,50.0,25.0,,proporcion,2d,1.0,1.0,1.0,,0.0,False,True,,0.3,"[63, 76, 110, 147, 111]",,"[139, 9, 102, 153, 58]",,3,0.466880727756286,0,,,2025-09-29T00:37:39.202628,3
glass,153,False,5,50.0,25.0,,proporcion,2d,1.0,1.0,1.0,,0.0,False,True,,0.3,"[160, 74, 16, 111, 128]",,"[9, 143, 139, 102, 121]",,3,0.8513187214136887,0,,,2025-09-29T00:37:39.202628,3
glass,163,False,5,50.0,25.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,False,,0.3,"[4, 15, 106, 115, 151]",,"[15, 45, 169, 21, 168]",,3,2.5488143551159124,0,,,2025-09-29T00:37:39.202628,3
glass,168,False,5,50.0,25.0,,proporcion,2d,1.0,0.8,0.2,,0.2,False,False,,0.3,"[123, 1, 21, 167, 161]",,"[21, 58, 7, 121, 45]",,3,0.7553792977804442,0,,,2025-09-29T00:37:39.202628,3
glass,169,False,5,50.0,25.0,,proporcion,2d,1.0,1.0,0.6,,0.0,False,True,,0.3,"[75, 36, 29, 69, 73]",,"[45, 139, 121, 7, 9]",,3,0.9985459325462515,0,,,2025-09-29T00:37:39.202628,3
