dataset,idx_global,is_filtrada,k,percentil_dist,percentil_densidad,percentil_entropia,criterio_pureza,modo_espacial,radio_densidad,riesgo,densidad,entropia,proporcion_min,pasa_pureza,pasa_densidad,umbral_entropia,umbral_densidad,vecinos_all,dist_all,vecinos_min,dist_min,vecinos_validos_por_percentil,thr_dist_percentil,synthetics_from_this_seed,last_delta,last_neighbor_z,timestamp,clase_objetivo
glass,7,True,5,25.0,50.0,75.0,entropia,2d,1.0,0.8,1.0,0.7219280948873623,,True,True,0.7219280948873623,1.0,"[121, 120, 150, 6, 31]",,"[121, 45, 139, 9, 102]",,2,0.571254182457916,3,0.560439396150808,121.0,2025-09-29T00:37:39.530953,3
glass,9,True,5,25.0,50.0,75.0,entropia,2d,1.0,1.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[76, 16, 74, 37, 111]",,"[143, 139, 102, 153, 121]",,2,0.3007785898777099,3,0.5789654700855298,16.0,2025-09-29T00:37:39.530953,3
glass,15,False,5,25.0,50.0,75.0,entropia,2d,1.0,1.0,0.0,0.0,,True,False,0.7219280948873623,1.0,"[50, 159, 10, 13, 26]",,"[163, 169, 58, 45, 168]",,2,1.518245731033573,0,,,2025-09-29T00:37:39.530953,3
glass,21,False,5,25.0,50.0,75.0,entropia,2d,1.0,0.8,0.2,0.7219280948873623,,True,False,0.7219280948873623,1.0,"[161, 167, 168, 123, 1]",,"[168, 58, 7, 121, 45]",,2,0.46297917576952363,0,,,2025-09-29T00:37:39.530953,3
glass,45,False,5,25.0,50.0,75.0,entropia,2d,1.0,0.6,1.0,0.9709505944546688,,False,True,0.7219280948873623,1.0,"[77, 107, 7, 121, 29]",,"[7, 121, 169, 139, 9]",,2,0.9198494393336901,0,,,2025-09-29T00:37:39.530953,3
glass,58,True,5,25.0,50.0,75.0,entropia,2d,1.0,1.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[71, 103, 79, 83, 90]",,"[102, 139, 143, 9, 7]",,2,0.8839927453713303,5,0.4341048247374583,71.0,2025-09-29T00:37:39.530953,3
glass,102,True,5,25.0,50.0,75.0,entropia,2d,1.0,0.8,1.0,0.7219280948873623,,True,True,0.7219280948873623,1.0,"[139, 97, 17, 71, 132]",,"[139, 143, 9, 58, 7]",,2,0.290743137515647,9,0.5085392166316497,97.0,2025-09-29T00:37:39.530953,3
glass,121,True,5,25.0,50.0,75.0,entropia,2d,1.0,0.8,1.0,0.7219280948873623,,True,True,0.7219280948873623,1.0,"[7, 120, 150, 31, 6]",,"[7, 45, 9, 139, 102]",,2,0.5519547370633832,1,0.47135066533871783,120.0,2025-09-29T00:37:39.530953,3
glass,139,True,5,25.0,50.0,75.0,entropia,2d,1.0,0.8,1.0,0.7219280948873623,,True,True,0.7219280948873623,1.0,"[102, 97, 132, 17, 124]",,"[102, 143, 9, 58, 7]",,2,0.3613020375403079,3,0.5843748470046234,102.0,2025-09-29T00:37:39.530953,3
glass,143,True,5,25.0,50.0,75.0,entropia,2d,1.0,1.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[63, 76, 110, 147, 111]",,"[139, 9, 102, 153, 58]",,2,0.39793813337752815,6,0.5550265646722229,76.0,2025-09-29T00:37:39.530953,3
glass,153,True,5,25.0,50.0,75.0,entropia,2d,1.0,1.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[160, 74, 16, 111, 128]",,"[9, 143, 139, 102, 121]",,2,0.8169284393537438,4,0.4542698063547792,160.0,2025-09-29T00:37:39.530953,3
glass,163,False,5,25.0,50.0,75.0,entropia,2d,1.0,0.8,0.0,0.7219280948873623,,True,False,0.7219280948873623,1.0,"[4, 15, 106, 115, 151]",,"[15, 45, 169, 21, 168]",,2,2.4762693355922436,0,,,2025-09-29T00:37:39.530953,3
glass,168,False,5,25.0,50.0,75.0,entropia,2d,1.0,0.8,0.2,0.7219280948873623,,True,False,0.7219280948873623,1.0,"[123, 1, 21, 167, 161]",,"[21, 58, 7, 121, 45]",,2,0.44201139323274474,0,,,2025-09-29T00:37:39.530953,3
glass,169,False,5,25.0,50.0,75.0,entropia,2d,1.0,1.0,0.6,0.0,,True,False,0.7219280948873623,1.0,"[75, 36, 29, 69, 73]",,"[45, 139, 121, 7, 9]",,2,0.9809583086635929,0,,,2025-09-29T00:37:39.530953,3
glass,25,True,5,25.0,50.0,75.0,entropia,2d,1.0,1.0,0.0,0.0,,True,True,0.9086949695628421,0.0,"[122, 114, 134, 112, 125]",,"[94, 156, 118, 104, 81]",,2,5.758371013344655,2,0.5719880813472641,122.0,2025-09-29T00:37:39.554924,5
glass,60,True,5,25.0,50.0,75.0,entropia,2d,1.0,0.2,0.2,0.7219280948873623,,True,True,0.9086949695628421,0.0,"[156, 94, 87, 109, 162]",,"[156, 94, 87, 109, 81]",,2,2.2133899299550968,7,0.4561869019374762,156.0,2025-09-29T00:37:39.554924,5
