dataset,idx_global,is_filtrada,k,percentil_dist,percentil_densidad,percentil_entropia,criterio_pureza,modo_espacial,radio_densidad,riesgo,densidad,entropia,proporcion_min,pasa_pureza,pasa_densidad,umbral_entropia,umbral_densidad,vecinos_all,dist_all,vecinos_min,dist_min,vecinos_validos_por_percentil,thr_dist_percentil,synthetics_from_this_seed,last_delta,last_neighbor_z,timestamp,clase_objetivo
heart,0,True,5,75.0,25.0,75.0,entropia,2d,1.0,1.0,0.0,0.0,,True,True,0.9709505944546688,0.0,"[16, 51, 100, 15, 160]",,"[125, 69, 40, 18, 150]",,4,2.337654624253388,2,0.5122554395138993,16.0,2025-09-29T00:37:42.765346,1
heart,11,True,5,75.0,25.0,75.0,entropia,2d,1.0,0.6,0.0,0.9709505944546688,,True,True,0.9709505944546688,0.0,"[78, 212, 166, 32, 232]",,"[78, 212, 46, 223, 29]",,4,3.131759654388091,0,,,2025-09-29T00:37:42.765346,1
heart,18,True,5,75.0,25.0,75.0,entropia,2d,1.0,0.8,0.2,0.7219280948873623,,True,True,0.9709505944546688,0.0,"[40, 79, 15, 160, 62]",,"[40, 233, 125, 0, 35]",,4,2.431747544445924,1,0.5215089703802877,40.0,2025-09-29T00:37:42.765346,1
heart,22,True,5,75.0,25.0,75.0,entropia,2d,1.0,0.8,0.0,0.7219280948873623,,True,True,0.9709505944546688,0.0,"[125, 17, 94, 156, 201]",,"[125, 217, 29, 116, 153]",,4,4.097572978898404,1,0.5931264066149118,125.0,2025-09-29T00:37:42.765346,1
heart,23,True,5,75.0,25.0,75.0,entropia,2d,1.0,0.4,0.2,0.9709505944546688,,True,True,0.9709505944546688,0.0,"[212, 137, 99, 46, 220]",,"[212, 46, 220, 235, 169]",,4,2.2060211323089014,0,,,2025-09-29T00:37:42.765346,1
heart,29,True,5,75.0,25.0,75.0,entropia,2d,1.0,0.8,0.0,0.7219280948873623,,True,True,0.9709505944546688,0.0,"[218, 204, 63, 153, 236]",,"[153, 212, 46, 78, 11]",,4,2.728544923859668,3,0.5068178838750884,153.0,2025-09-29T00:37:42.765346,1
heart,33,True,5,75.0,25.0,75.0,entropia,2d,1.0,1.0,0.0,0.0,,True,True,0.9709505944546688,0.0,"[109, 225, 228, 173, 66]",,"[78, 92, 220, 23, 41]",,4,2.8102190579439195,2,0.5246596253655116,109.0,2025-09-29T00:37:42.765346,1
heart,35,True,5,75.0,25.0,75.0,entropia,2d,1.0,0.8,0.0,0.7219280948873623,,True,True,0.9709505944546688,0.0,"[61, 36, 84, 113, 106]",,"[113, 215, 235, 227, 220]",,4,3.18293054903819,1,0.43919657248382904,36.0,2025-09-29T00:37:42.765346,1
heart,40,True,5,75.0,25.0,75.0,entropia,2d,1.0,0.8,0.2,0.7219280948873623,,True,True,0.9709505944546688,0.0,"[18, 15, 177, 160, 79]",,"[18, 233, 0, 35, 69]",,4,2.2982970839141204,1,0.4195344228012768,15.0,2025-09-29T00:37:42.765346,1
heart,41,True,5,75.0,25.0,75.0,entropia,2d,1.0,0.4,0.4,0.9709505944546688,,True,True,0.9709505944546688,0.0,"[215, 155, 55, 105, 227]",,"[215, 155, 227, 131, 220]",,4,2.0113888535986555,0,,,2025-09-29T00:37:42.765346,1
