dataset,idx_global,clase_objetivo,is_filtrada,k,percentil_dist,percentil_densidad,percentil_entropia,criterio_pureza,modo_espacial,radio_densidad,riesgo,densidad,entropia,proporcion_min,pasa_pureza,pasa_densidad,umbral_entropia,umbral_densidad,vecinos_all,clase_vecinos_all,dist_all,vecinos_min,dist_vecinos_min,vecinos_validos_por_percentil,thr_dist_percentil,synthetics_from_this_seed,last_delta,last_neighbor_z,timestamp
heart,0,1,False,5,50.0,50.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,True,,0.0,"[16, 51, 100, 15, 160]","[0, 0, 0, 0, 0]","[1.780818893905325, 1.8125790188414306, 2.1919052381548307, 2.337654624253388, 2.6090072964410917]","[125, 69, 40, 18, 150]","[3.037311823961932, 3.107901778629011, 3.405526509168833, 3.573138482679644, 3.8332902746979345]",3,2.1919052381548307,0,,,2025-09-30T15:28:47.248604
heart,11,1,True,5,50.0,50.0,,proporcion,2d,1.0,0.6,0.0,,0.4,True,True,,0.0,"[78, 212, 166, 32, 232]","[1, 1, 0, 0, 0]","[2.700865752794975, 3.0107056164866157, 3.1071749890979055, 3.131759654388091, 3.148141694030433]","[78, 212, 46, 223, 29]","[2.700865752794975, 3.0107056164866157, 3.2189287083504725, 3.548368174784848, 3.679794256042939]",3,3.1071749890979055,3,0.40171413823294055,78.0,2025-09-30T15:28:47.248604
heart,18,1,False,5,50.0,50.0,,proporcion,2d,1.0,0.8,0.2,,0.2,False,True,,0.0,"[40, 79, 15, 160, 62]","[1, 0, 0, 0, 0]","[1.6909781228325669, 1.7838941888189588, 2.0355469622693056, 2.431747544445924, 2.567166714462934]","[40, 233, 125, 0, 35]","[1.6909781228325669, 3.3587714687742642, 3.4894899258088907, 3.573138482679644, 3.62795625436061]",3,2.0355469622693056,0,,,2025-09-30T15:28:47.248604
heart,22,1,False,5,50.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[125, 17, 94, 156, 201]","[1, 0, 0, 0, 0]","[3.430933330770413, 3.476415586675445, 3.9995080523756448, 4.097572978898404, 4.194716670464615]","[125, 217, 29, 116, 153]","[3.430933330770413, 4.266569171078232, 4.324699693792161, 4.407811088507573, 4.4383143722947125]",3,3.9995080523756448,0,,,2025-09-30T15:28:47.248604
heart,23,1,True,5,50.0,50.0,,proporcion,2d,1.0,0.4,0.2,,0.6,True,True,,0.0,"[212, 137, 99, 46, 220]","[1, 0, 0, 1, 1]","[1.671967725238816, 2.130179804225196, 2.142573333867425, 2.2060211323089014, 2.3287924982692343]","[212, 46, 220, 235, 169]","[1.671967725238816, 2.2060211323089014, 2.3287924982692343, 2.5924893634910977, 2.8604121678700705]",3,2.142573333867425,5,0.6899508266739531,137.0,2025-09-30T15:28:47.248604
heart,29,1,False,5,50.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[218, 204, 63, 153, 236]","[0, 0, 0, 1, 0]","[2.190681979588576, 2.5415006992217277, 2.5565560404056664, 2.728544923859668, 2.7983147841633595]","[153, 212, 46, 78, 11]","[2.728544923859668, 3.2285402328798476, 3.26215996591021, 3.329434040562171, 3.679794256042939]",3,2.5565560404056664,0,,,2025-09-30T15:28:47.248604
heart,33,1,False,5,50.0,50.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,True,,0.0,"[109, 225, 228, 173, 66]","[0, 0, 0, 0, 0]","[2.4633188805174138, 2.711565927877977, 2.71566861449858, 2.8102190579439195, 2.9323724369535173]","[78, 92, 220, 23, 41]","[3.1565193517361014, 3.2958942883326214, 3.412243496570215, 3.5270458355290475, 3.534848713856797]",3,2.71566861449858,0,,,2025-09-30T15:28:47.248604
heart,35,1,False,5,50.0,50.0,,proporcion,2d,1.0,0.8,0.0,,0.2,False,True,,0.0,"[61, 36, 84, 113, 106]","[0, 0, 0, 1, 0]","[3.0839310763156367, 3.119695310868472, 3.1584007332470123, 3.18293054903819, 3.203066363296444]","[113, 215, 235, 227, 220]","[3.18293054903819, 3.212955739207604, 3.462481908649535, 3.465317316759476, 3.584027434818915]",3,3.1584007332470123,0,,,2025-09-30T15:28:47.248604
heart,40,1,False,5,50.0,50.0,,proporcion,2d,1.0,0.8,0.2,,0.2,False,True,,0.0,"[18, 15, 177, 160, 79]","[1, 0, 0, 0, 0]","[1.6909781228325669, 1.865817345583541, 1.9015067959044518, 2.2982970839141204, 2.3579283407249947]","[18, 233, 0, 35, 69]","[1.6909781228325669, 3.2205654598250817, 3.405526509168833, 3.755300744982952, 3.9072704191491976]",3,1.9015067959044518,0,,,2025-09-30T15:28:47.248604
heart,41,1,True,5,50.0,50.0,,proporcion,2d,1.0,0.4,0.4,,0.6,True,True,,0.0,"[215, 155, 55, 105, 227]","[1, 1, 0, 0, 1]","[1.5601391047614015, 1.5881973191712637, 1.9955030096081692, 2.0113888535986555, 2.155953871388895]","[215, 155, 227, 131, 220]","[1.5601391047614015, 1.5881973191712637, 2.155953871388895, 2.319369581182567, 2.4844179382578746]",3,1.9955030096081692,5,0.6675230342807256,155.0,2025-09-30T15:28:47.248604
