dataset,idx_global,is_filtrada,k,percentil_dist,percentil_densidad,percentil_entropia,criterio_pureza,modo_espacial,radio_densidad,riesgo,densidad,entropia,proporcion_min,pasa_pureza,pasa_densidad,umbral_entropia,umbral_densidad,vecinos_all,dist_all,vecinos_min,dist_min,vecinos_validos_por_percentil,thr_dist_percentil,synthetics_from_this_seed,last_delta,last_neighbor_z,timestamp,clase_objetivo
shuttle,166,True,5,75.0,75.0,75.0,entropia,2d,1.0,0.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[42381, 12871, 7384, 8582, 18755]",,"[42381, 12871, 7384, 8582, 18755]",,4,0.3239300180928605,856,0.4030393746044755,7384.0,2025-09-29T00:36:10.280580,2
shuttle,2054,True,5,75.0,75.0,75.0,entropia,2d,1.0,0.8,1.0,0.7219280948873623,,True,True,0.7219280948873623,1.0,"[16661, 3390, 31447, 19243, 34457]",,"[16661, 9715, 21711, 28748, 11109]",,4,0.35699759407142195,916,0.5756260028101239,3390.0,2025-09-29T00:36:10.280580,2
shuttle,2425,True,5,75.0,75.0,75.0,entropia,2d,1.0,0.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[18755, 11236, 26510, 12871, 42381]",,"[18755, 11236, 26510, 12871, 42381]",,4,0.34886846983154673,862,0.45123377415188176,26510.0,2025-09-29T00:36:10.280580,2
shuttle,4958,True,5,75.0,75.0,75.0,entropia,2d,1.0,0.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[42037, 26627, 31905, 16514, 21018]",,"[42037, 26627, 31905, 16514, 21018]",,4,0.19668696534462238,886,0.5370566467686001,31905.0,2025-09-29T00:36:10.280580,2
shuttle,7384,True,5,75.0,75.0,75.0,entropia,2d,1.0,0.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[8582, 166, 12871, 42381, 25405]",,"[8582, 166, 42381, 12871, 25405]",,4,0.2929455646286814,857,0.4208620747570531,12871.0,2025-09-29T00:36:10.280580,2
shuttle,8296,False,5,75.0,75.0,75.0,entropia,2d,1.0,0.6,1.0,0.9709505944546688,,False,True,0.7219280948873623,1.0,"[16454, 37322, 42565, 36287, 17784]",,"[37322, 42565, 23144, 15756, 33699]",,4,1.1858917365980053,0,,,2025-09-29T00:36:10.280580,2
shuttle,8582,True,5,75.0,75.0,75.0,entropia,2d,1.0,0.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[7384, 166, 25405, 12871, 42381]",,"[7384, 166, 25405, 12871, 42381]",,4,0.4215673600029087,830,0.4969033955159752,7384.0,2025-09-29T00:36:10.280580,2
shuttle,9715,True,5,75.0,75.0,75.0,entropia,2d,1.0,0.8,1.0,0.7219280948873623,,True,True,0.7219280948873623,1.0,"[16661, 13540, 650, 21907, 31179]",,"[16661, 2054, 15756, 33699, 23144]",,4,0.33005747897234566,876,0.5983890812007323,21907.0,2025-09-29T00:36:10.280580,2
shuttle,10856,True,5,75.0,75.0,75.0,entropia,2d,1.0,0.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[36018, 16557, 11109, 28748, 36917]",,"[36018, 16557, 11109, 28748, 36917]",,4,0.13874158512334817,862,0.5940865536745318,28748.0,2025-09-29T00:36:10.280580,2
shuttle,11109,True,5,75.0,75.0,75.0,entropia,2d,1.0,0.0,1.0,0.0,,True,True,0.7219280948873623,1.0,"[28748, 21711, 10856, 36018, 16557]",,"[28748, 21711, 10856, 36018, 16557]",,4,0.20672603535954645,883,0.45995163282098617,10856.0,2025-09-29T00:36:10.280580,2
