dataset,idx_global,is_filtrada,k,percentil_dist,percentil_densidad,percentil_entropia,criterio_pureza,modo_espacial,radio_densidad,riesgo,densidad,entropia,proporcion_min,pasa_pureza,pasa_densidad,umbral_entropia,umbral_densidad,vecinos_all,dist_all,vecinos_min,dist_min,vecinos_validos_por_percentil,thr_dist_percentil,synthetics_from_this_seed,last_delta,last_neighbor_z,timestamp,clase_objetivo
shuttle,166,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[42381, 12871, 7384, 8582, 18755]",,"[42381, 12871, 7384, 8582, 18755]",,4,0.3239300180928605,0,,,2025-09-29T00:37:06.817912,2
shuttle,2054,False,5,75.0,75.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,1.0,"[16661, 3390, 31447, 19243, 34457]",,"[16661, 9715, 21711, 28748, 11109]",,4,0.35699759407142195,0,,,2025-09-29T00:37:06.817912,2
shuttle,2425,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[18755, 11236, 26510, 12871, 42381]",,"[18755, 11236, 26510, 12871, 42381]",,4,0.34886846983154673,0,,,2025-09-29T00:37:06.817912,2
shuttle,4958,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[42037, 26627, 31905, 16514, 21018]",,"[42037, 26627, 31905, 16514, 21018]",,4,0.19668696534462238,0,,,2025-09-29T00:37:06.817912,2
shuttle,7384,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[8582, 166, 12871, 42381, 25405]",,"[8582, 166, 42381, 12871, 25405]",,4,0.2929455646286814,0,,,2025-09-29T00:37:06.817912,2
shuttle,8296,True,5,75.0,75.0,,proporcion,2d,1.0,0.6,1.0,,0.4,True,True,,1.0,"[16454, 37322, 42565, 36287, 17784]",,"[37322, 42565, 23144, 15756, 33699]",,4,1.1858917365980053,4195,0.3299526301282936,42565.0,2025-09-29T00:37:06.817912,2
shuttle,8582,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[7384, 166, 25405, 12871, 42381]",,"[7384, 166, 25405, 12871, 42381]",,4,0.4215673600029087,0,,,2025-09-29T00:37:06.817912,2
shuttle,9715,False,5,75.0,75.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,1.0,"[16661, 13540, 650, 21907, 31179]",,"[16661, 2054, 15756, 33699, 23144]",,4,0.33005747897234566,0,,,2025-09-29T00:37:06.817912,2
shuttle,10856,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[36018, 16557, 11109, 28748, 36917]",,"[36018, 16557, 11109, 28748, 36917]",,4,0.13874158512334817,0,,,2025-09-29T00:37:06.817912,2
shuttle,11109,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[28748, 21711, 10856, 36018, 16557]",,"[28748, 21711, 10856, 36018, 16557]",,4,0.20672603535954645,0,,,2025-09-29T00:37:06.817912,2
shuttle,11236,True,5,75.0,75.0,,proporcion,2d,1.0,0.4,1.0,,0.6,True,True,,1.0,"[26510, 2425, 18755, 18842, 5720]",,"[26510, 2425, 18755, 12871, 42381]",,4,0.36274223995012683,4143,0.7290468597296096,26510.0,2025-09-29T00:37:06.817912,2
shuttle,12374,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[44873, 45985, 31077, 21018, 26873]",,"[44873, 45985, 31077, 21018, 26873]",,4,0.6294143089055314,0,,,2025-09-29T00:37:06.817912,2
shuttle,12871,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[42381, 166, 18755, 7384, 2425]",,"[42381, 166, 18755, 7384, 2425]",,4,0.2929455646286814,0,,,2025-09-29T00:37:06.817912,2
shuttle,15756,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[33699, 23144, 42565, 37322, 21711]",,"[33699, 23144, 42565, 37322, 21711]",,4,0.24533037407640107,0,,,2025-09-29T00:37:06.817912,2
shuttle,16514,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[42037, 4958, 21018, 26627, 31905]",,"[42037, 4958, 21018, 26627, 31905]",,4,0.3146288981222372,0,,,2025-09-29T00:37:06.817912,2
