dataset,idx_global,clase_objetivo,is_filtrada,k,percentil_dist,percentil_densidad,percentil_entropia,criterio_pureza,modo_espacial,radio_densidad,riesgo,densidad,entropia,proporcion_min,pasa_pureza,pasa_densidad,umbral_entropia,umbral_densidad,vecinos_all,clase_vecinos_all,dist_all,vecinos_min,dist_vecinos_min,vecinos_validos_por_percentil,thr_dist_percentil,synthetics_from_this_seed,last_delta,last_neighbor_z,timestamp
wdbc,0,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.2,0.4,,0.8,False,True,,0.0,"[383, 340, 346, 85, 15]","[1, 1, 1, 1, 0]","[1.8699456462780393, 1.9310291903366734, 2.1187842612958963, 2.157114632593742, 2.309014130170618]","[383, 340, 346, 85, 8]","[1.8699456462780393, 1.9310291903366734, 2.1187842612958963, 2.157114632593742, 2.4649257335029087]",2,1.9310291903366734,0,,,2025-09-30T15:28:43.991409
wdbc,3,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[387, 444, 314, 373, 96]","[1, 1, 1, 1, 1]","[3.357035373690134, 4.158799051101398, 4.227651771241657, 4.360157601979225, 4.449020863264204]","[387, 444, 314, 373, 96]","[3.357035373690134, 4.158799051101398, 4.227651771241657, 4.360157601979225, 4.449020863264204]",2,4.158799051101398,0,,,2025-09-30T15:28:43.991409
wdbc,4,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[189, 454, 293, 109, 377]","[1, 1, 1, 1, 1]","[2.637667802357196, 2.765618588919533, 2.942256578333335, 2.9558347247120693, 3.0747294711528927]","[189, 454, 293, 109, 377]","[2.637667802357196, 2.765618588919533, 2.942256578333335, 2.9558347247120693, 3.0747294711528927]",2,2.765618588919533,0,,,2025-09-30T15:28:43.991409
wdbc,5,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[24, 268, 170, 229, 95]","[1, 1, 1, 1, 1]","[8.268541943367712, 13.973901799869077, 14.212835688414216, 14.27622934153111, 14.347497452039956]","[24, 268, 170, 229, 95]","[8.268541943367712, 13.973901799869077, 14.212835688414216, 14.27622934153111, 14.347497452039956]",2,13.973901799869077,0,,,2025-09-30T15:28:43.991409
wdbc,7,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.2,0.0,,0.8,False,True,,0.0,"[257, 295, 26, 56, 290]","[1, 0, 1, 1, 1]","[2.0949856713953765, 2.1290879073336044, 2.1981102205145446, 2.3307847652335973, 2.4844206772935213]","[257, 26, 56, 290, 310]","[2.0949856713953765, 2.1981102205145446, 2.3307847652335973, 2.4844206772935213, 2.537948094634543]",2,2.1290879073336044,0,,,2025-09-30T15:28:43.991409
wdbc,8,1,True,5,25.0,25.0,,proporcion,2d,1.0,0.4,0.6,,0.6,True,True,,0.0,"[58, 346, 53, 441, 84]","[1, 1, 1, 0, 0]","[1.5321094406548483, 1.7858993453005365, 1.8491791713111778, 2.16851672908144, 2.225156276459456]","[58, 346, 53, 369, 0]","[1.5321094406548483, 1.7858993453005365, 1.8491791713111778, 2.2811609901806733, 2.4649257335029087]",2,1.7858993453005365,4,0.614808930346818,58.0,2025-09-30T15:28:43.991409
wdbc,9,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[286, 152, 196, 4, 329]","[1, 1, 1, 1, 1]","[2.176704962447375, 3.064696362186613, 3.1159537581020493, 3.208827984996173, 3.3151618788091226]","[286, 152, 196, 4, 329]","[2.176704962447375, 3.064696362186613, 3.1159537581020493, 3.208827984996173, 3.3151618788091226]",2,3.064696362186613,0,,,2025-09-30T15:28:43.991409
wdbc,10,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[131, 61, 212, 454, 270]","[1, 1, 1, 1, 1]","[3.179478140406934, 3.3237751173204066, 3.4820018644335184, 3.485902229819895, 3.5399127719420465]","[131, 61, 212, 454, 270]","[3.179478140406934, 3.3237751173204066, 3.4820018644335184, 3.485902229819895, 3.5399127719420465]",2,3.3237751173204066,0,,,2025-09-30T15:28:43.991409
wdbc,11,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[110, 283, 221, 29, 136]","[1, 1, 1, 1, 1]","[3.704053483332116, 3.7295344474234504, 3.83333537729729, 4.181013240348693, 4.614545061221802]","[110, 283, 221, 29, 136]","[3.704053483332116, 3.7295344474234504, 3.83333537729729, 4.181013240348693, 4.614545061221802]",2,3.7295344474234504,0,,,2025-09-30T15:28:43.991409
wdbc,13,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[106, 414, 435, 380, 179]","[1, 1, 1, 1, 1]","[2.676260566233233, 3.190882849225537, 3.3810821216851688, 3.6131829685650554, 3.7451051536029034]","[106, 414, 435, 380, 179]","[2.676260566233233, 3.190882849225537, 3.3810821216851688, 3.6131829685650554, 3.7451051536029034]",2,3.190882849225537,0,,,2025-09-30T15:28:43.991409
wdbc,22,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[293, 318, 199, 377, 410]","[1, 1, 1, 1, 1]","[2.829638037136089, 3.33330983713227, 3.4786622829974356, 3.5076932622985377, 3.514280685908663]","[293, 318, 199, 377, 410]","[2.829638037136089, 3.33330983713227, 3.4786622829974356, 3.5076932622985377, 3.514280685908663]",2,3.33330983713227,0,,,2025-09-30T15:28:43.991409
wdbc,24,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[5, 221, 29, 229, 315]","[1, 1, 1, 1, 1]","[8.268541943367712, 12.758660121459268, 12.908112310143364, 12.917838051546532, 13.156933733064346]","[5, 221, 29, 229, 315]","[8.268541943367712, 12.758660121459268, 12.908112310143364, 12.917838051546532, 13.156933733064346]",2,12.758660121459268,0,,,2025-09-30T15:28:43.991409
wdbc,26,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.4,,1.0,False,True,,0.0,"[257, 290, 281, 310, 56]","[1, 1, 1, 1, 1]","[1.7813073879053836, 1.9713535589875961, 2.0307905739305205, 2.0929172058822116, 2.103978874782868]","[257, 290, 281, 310, 56]","[1.7813073879053836, 1.9713535589875961, 2.0307905739305205, 2.0929172058822116, 2.103978874782868]",2,1.9713535589875961,0,,,2025-09-30T15:28:43.991409
wdbc,28,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[329, 178, 33, 380, 179]","[1, 1, 1, 1, 1]","[2.223370161248983, 2.525921641869262, 2.6966799247529702, 2.7958012473154814, 3.027298133839749]","[329, 178, 33, 380, 179]","[2.223370161248983, 2.525921641869262, 2.6966799247529702, 2.7958012473154814, 3.027298133839749]",2,2.525921641869262,0,,,2025-09-30T15:28:43.991409
wdbc,29,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[110, 283, 136, 229, 28]","[1, 1, 1, 1, 1]","[2.770078647479813, 2.8674885573782056, 3.3062490883986415, 3.4773982922781213, 4.096502687037154]","[110, 283, 136, 229, 28]","[2.770078647479813, 2.8674885573782056, 3.3062490883986415, 3.4773982922781213, 4.096502687037154]",2,2.8674885573782056,0,,,2025-09-30T15:28:43.991409
wdbc,32,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[421, 362, 368, 294, 237]","[1, 1, 1, 1, 1]","[7.931451127191836, 8.44988172949529, 8.479500021432601, 8.495764283422462, 8.84574370140756]","[421, 362, 368, 294, 237]","[7.931451127191836, 8.44988172949529, 8.479500021432601, 8.495764283422462, 8.84574370140756]",2,8.44988172949529,0,,,2025-09-30T15:28:43.991409
wdbc,33,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[286, 179, 329, 68, 28]","[1, 1, 1, 1, 1]","[2.163869306811381, 2.18291802038063, 2.5901691590287803, 2.6759960290505087, 2.6966799247529702]","[286, 179, 329, 68, 28]","[2.163869306811381, 2.18291802038063, 2.5901691590287803, 2.6759960290505087, 2.6966799247529702]",2,2.18291802038063,0,,,2025-09-30T15:28:43.991409
wdbc,37,1,True,5,25.0,25.0,,proporcion,2d,1.0,0.6,0.0,,0.4,True,True,,0.0,"[270, 383, 166, 453, 36]","[1, 1, 0, 0, 0]","[2.5598837551996945, 3.073374779076887, 3.0759015116759723, 3.116759592626701, 3.32907899433463]","[270, 383, 53, 65, 318]","[2.5598837551996945, 3.073374779076887, 3.4514127067104408, 3.455148563735598, 3.520349086992768]",2,3.073374779076887,6,0.31271167005720474,270.0,2025-09-30T15:28:43.991409
wdbc,40,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.2,0.0,,0.8,False,True,,0.0,"[99, 65, 43, 96, 265]","[0, 1, 1, 1, 1]","[2.31176644967602, 2.432317181652187, 2.4826809269033525, 2.502524449502609, 2.521955835662292]","[65, 43, 96, 265, 184]","[2.432317181652187, 2.4826809269033525, 2.502524449502609, 2.521955835662292, 2.5673366849972497]",2,2.432317181652187,0,,,2025-09-30T15:28:43.991409
wdbc,43,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.8,,1.0,False,True,,0.0,"[52, 354, 127, 395, 65]","[1, 1, 1, 1, 1]","[1.4193735527061333, 1.846257876701924, 1.8655718853676027, 1.959227576079553, 2.023158699795688]","[52, 354, 127, 395, 65]","[1.4193735527061333, 1.846257876701924, 1.8655718853676027, 1.959227576079553, 2.023158699795688]",2,1.846257876701924,0,,,2025-09-30T15:28:43.991409
wdbc,45,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[68, 275, 322, 326, 265]","[1, 1, 1, 1, 1]","[2.854408343615909, 3.05009238450375, 3.3266559595532956, 3.4352230878775587, 3.4807989321036805]","[68, 275, 322, 326, 265]","[2.854408343615909, 3.05009238450375, 3.3266559595532956, 3.4352230878775587, 3.4807989321036805]",2,3.05009238450375,0,,,2025-09-30T15:28:43.991409
wdbc,52,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,0.0,"[127, 43, 354, 54, 326]","[1, 1, 1, 1, 1]","[1.100975975252204, 1.4193735527061333, 1.633431842009987, 1.7749982005131384, 1.7933483341242031]","[127, 43, 354, 54, 326]","[1.100975975252204, 1.4193735527061333, 1.633431842009987, 1.7749982005131384, 1.7933483341242031]",2,1.4193735527061333,0,,,2025-09-30T15:28:43.991409
wdbc,53,1,True,5,25.0,25.0,,proporcion,2d,1.0,0.6,0.4,,0.4,True,True,,0.0,"[424, 8, 346, 423, 453]","[0, 1, 1, 0, 0]","[1.8378077524821266, 1.8491791713111778, 1.910042289811469, 1.947857564805605, 2.0866545744490907]","[8, 346, 58, 85, 340]","[1.8491791713111778, 1.910042289811469, 2.232717596247913, 2.4573943079116973, 2.5239659001150083]",2,1.8491791713111778,6,0.47609356780305156,8.0,2025-09-30T15:28:43.991409
wdbc,54,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.4,,1.0,False,True,,0.0,"[127, 52, 43, 256, 326]","[1, 1, 1, 1, 1]","[1.4448964866051028, 1.7749982005131384, 2.044082402626124, 2.131900411425432, 2.3341115950282054]","[127, 52, 43, 256, 326]","[1.4448964866051028, 1.7749982005131384, 2.044082402626124, 2.131900411425432, 2.3341115950282054]",2,1.7749982005131384,0,,,2025-09-30T15:28:43.991409
wdbc,55,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[293, 371, 22, 404, 116]","[1, 1, 1, 1, 1]","[5.154386520017321, 5.478773838501507, 5.566536054134686, 5.625724824146646, 5.716039312776141]","[293, 371, 22, 404, 116]","[5.154386520017321, 5.478773838501507, 5.566536054134686, 5.625724824146646, 5.716039312776141]",2,5.478773838501507,0,,,2025-09-30T15:28:43.991409
wdbc,56,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.2,0.0,,0.8,False,True,,0.0,"[416, 26, 281, 7, 290]","[0, 1, 1, 1, 1]","[1.3914478815664062, 2.103978874782868, 2.1957213843581145, 2.3307847652335973, 2.4098320176756123]","[26, 281, 7, 290, 142]","[2.103978874782868, 2.1957213843581145, 2.3307847652335973, 2.4098320176756123, 2.4699116962814003]",2,2.103978874782868,0,,,2025-09-30T15:28:43.991409
wdbc,58,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.2,0.6,,0.8,False,True,,0.0,"[8, 346, 180, 53, 439]","[1, 1, 1, 1, 0]","[1.5321094406548483, 1.828548470858394, 1.8670662102839277, 2.232717596247913, 2.509788360648159]","[8, 346, 180, 53, 54]","[1.5321094406548483, 1.828548470858394, 1.8670662102839277, 2.232717596247913, 2.5462913487782366]",2,1.828548470858394,0,,,2025-09-30T15:28:43.991409
wdbc,60,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.0,,1.0,False,True,,0.0,"[444, 234, 122, 222, 142]","[1, 1, 1, 1, 1]","[3.657987477731485, 3.8630560237563953, 3.8686208063057577, 3.871425366245549, 3.9521317724554006]","[444, 234, 122, 222, 142]","[3.657987477731485, 3.8630560237563953, 3.8686208063057577, 3.871425366245549, 3.9521317724554006]",2,3.8630560237563953,0,,,2025-09-30T15:28:43.991409
wdbc,61,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.4,,1.0,False,True,,0.0,"[395, 212, 265, 326, 233]","[1, 1, 1, 1, 1]","[1.7493576782092717, 1.8763791077025522, 2.1237018960754175, 2.185838434420039, 2.4011948485270946]","[395, 212, 265, 326, 233]","[1.7493576782092717, 1.8763791077025522, 2.1237018960754175, 2.185838434420039, 2.4011948485270946]",2,1.8763791077025522,0,,,2025-09-30T15:28:43.991409
wdbc,65,1,False,5,25.0,25.0,,proporcion,2d,1.0,0.0,0.2,,1.0,False,True,,0.0,"[52, 43, 127, 354, 40]","[1, 1, 1, 1, 1]","[1.8687255484203718, 2.023158699795688, 2.073935675757163, 2.1631128229650765, 2.432317181652187]","[52, 43, 127, 354, 40]","[1.8687255484203718, 2.023158699795688, 2.073935675757163, 2.1631128229650765, 2.432317181652187]",2,2.023158699795688,0,,,2025-09-30T15:28:43.991409
