dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,n_iter,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,search_time_sec,n_jobs_search
glass,aumentado,pcsmote,25,25,entropia,268,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.8459418135271548,0.8604169904169904,0.8095302609278783,0.8063630530830995,0.728095238095238,0.815079365079365,0.6783042497063158,0.6694619147449337,8.058,4
glass,aumentado,pcsmote,25,25,proporcion,171,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6784775289123115,0.7089860139860141,0.5954538720529879,0.5899168684814726,0.7535433702100369,0.8134920634920634,0.6673264598604253,0.6643009226401703,7.501,4
glass,aumentado,pcsmote,25,50,entropia,268,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.8014113276726242,0.8176897176897177,0.7504755618425265,0.7464609887114062,0.7317426400759733,0.8142857142857142,0.675742315824749,0.6692307692307693,7.874,4
glass,aumentado,pcsmote,25,50,proporcion,171,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6784775289123115,0.7089860139860141,0.5954538720529879,0.5899168684814726,0.7535433702100369,0.8134920634920634,0.6673264598604253,0.6643009226401703,7.529,4
glass,aumentado,pcsmote,25,75,entropia,268,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.8118517822346064,0.8285483035483037,0.765018033018876,0.7609469014756443,0.7752326217843458,0.826190476190476,0.6950359786714436,0.6919770773638969,7.949,4
glass,aumentado,pcsmote,25,75,proporcion,171,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6784775289123115,0.7089860139860141,0.5954538720529879,0.5899168684814726,0.7535433702100369,0.8134920634920634,0.6673264598604253,0.6643009226401703,7.443,4
glass,aumentado,pcsmote,50,25,entropia,268,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.8487935063230078,0.8641206941206943,0.8140097053729326,0.8111091780794448,0.7714005130671797,0.8373015873015871,0.7298620363229475,0.725531914893617,8.004,4
glass,aumentado,pcsmote,50,25,proporcion,171,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6784775289123115,0.7089860139860141,0.5954538720529879,0.5899168684814726,0.7535433702100369,0.8134920634920634,0.6673264598604253,0.6643009226401703,7.508,4
glass,aumentado,pcsmote,50,50,entropia,268,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.8206176832196486,0.8332452732452733,0.774565405313518,0.7692945796052963,0.7848484848484848,0.8373015873015871,0.7253585867880639,0.723175965665236,7.878,4
glass,aumentado,pcsmote,50,50,proporcion,171,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6784775289123115,0.7089860139860141,0.5954538720529879,0.5899168684814726,0.7535433702100369,0.8134920634920634,0.6673264598604253,0.6643009226401703,7.469,4
