dataset,densidad,riesgo,pureza,f1_score,error
ecoli,25,25,entropia,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,25,25,proporcion,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,25,50,entropia,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,25,50,proporcion,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,25,75,entropia,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,25,75,proporcion,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,50,25,entropia,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,50,25,proporcion,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,50,50,entropia,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,50,50,proporcion,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,50,75,entropia,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,50,75,proporcion,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,75,25,entropia,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,75,25,proporcion,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,75,50,entropia,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,75,50,proporcion,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,75,75,entropia,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
ecoli,75,75,proporcion,,Cannot cast array data from dtype('O') to dtype('int64') according to the rule 'safe'
