dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
ecoli,SVM,25,25,entropia,0.8785620915032679,0.7604166666666666,0.8525411117977767,0.8400000000000001
ecoli,SVM,25,25,proporcion,0.9007509182162566,0.9183600164203612,0.8641324134784508,0.859752504419564
ecoli,SVM,25,50,entropia,0.874960215970446,0.7604166666666666,0.8508407744256306,0.839811542991755
ecoli,SVM,25,50,proporcion,0.9435107376283846,0.9583333333333334,0.9238258899176772,0.919431279620853
ecoli,SVM,25,75,entropia,0.8785620915032679,0.7604166666666666,0.8525411117977767,0.8400000000000001
ecoli,SVM,25,75,proporcion,0.8729102167182663,0.8975266830870279,0.82794991819166,0.8203698268271207
ecoli,SVM,50,25,entropia,0.8785620915032679,0.7604166666666666,0.8525411117977767,0.8400000000000001
ecoli,SVM,50,25,proporcion,0.9007509182162566,0.9183600164203612,0.8641324134784508,0.859752504419564
ecoli,SVM,50,50,entropia,0.874960215970446,0.7604166666666666,0.8508407744256306,0.839811542991755
ecoli,SVM,50,50,proporcion,0.9435107376283846,0.9583333333333334,0.9238258899176772,0.919431279620853
ecoli,SVM,50,75,entropia,0.8785620915032679,0.7604166666666666,0.8525411117977767,0.8400000000000001
ecoli,SVM,50,75,proporcion,0.8729102167182663,0.8975266830870279,0.82794991819166,0.8203698268271207
ecoli,SVM,75,25,entropia,0.8785620915032679,0.7604166666666666,0.8525411117977767,0.8400000000000001
ecoli,SVM,75,25,proporcion,0.9007509182162566,0.9183600164203612,0.8641324134784508,0.859752504419564
ecoli,SVM,75,50,entropia,0.874960215970446,0.7604166666666666,0.8508407744256306,0.839811542991755
ecoli,SVM,75,50,proporcion,0.9435107376283846,0.9583333333333334,0.9238258899176772,0.919431279620853
ecoli,SVM,75,75,entropia,0.8785620915032679,0.7604166666666666,0.8525411117977767,0.8400000000000001
ecoli,SVM,75,75,proporcion,0.8729102167182663,0.8975266830870279,0.82794991819166,0.8203698268271207
