dataset,densidad,riesgo,pureza,f1_score
glass,25,50,entropia,0.7866087400971122
glass,75,50,entropia,0.7670203359858533
glass,75,25,entropia,0.7652834854117931
glass,75,75,entropia,0.7474855893460544
glass,50,25,entropia,0.7453499305945175
glass,50,50,entropia,0.740156595609683
glass,50,75,entropia,0.7231422754678568
glass,25,75,entropia,0.7209302325581395
glass,25,25,entropia,0.7032754067637789
glass,25,50,proporcion,0.6775021341542282
glass,50,50,proporcion,0.6775021341542282
glass,75,75,proporcion,0.6550482448198257
glass,25,25,proporcion,0.652209480941664
glass,50,25,proporcion,0.652209480941664
glass,75,25,proporcion,0.6519879969992499
glass,75,50,proporcion,0.6517814182609692
glass,25,75,proporcion,0.6290429750294717
glass,50,75,proporcion,0.6290429750294717
