dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
glass,LogisticRegression,25,75,proporcion,0.6075244679895843,0.626984126984127,0.5663663493318346,0.5302257829570285
glass,LogisticRegression,25,50,proporcion,0.6075244679895843,0.626984126984127,0.5663663493318346,0.5302257829570285
glass,LogisticRegression,75,50,proporcion,0.6075244679895843,0.626984126984127,0.5663663493318346,0.5302257829570285
glass,LogisticRegression,75,75,proporcion,0.6075244679895843,0.626984126984127,0.5663663493318346,0.5302257829570285
glass,LogisticRegression,50,50,proporcion,0.6075244679895843,0.626984126984127,0.5663663493318346,0.5302257829570285
glass,LogisticRegression,50,75,proporcion,0.6075244679895843,0.626984126984127,0.5663663493318346,0.5302257829570285
glass,LogisticRegression,75,25,proporcion,0.6015037593984962,0.626984126984127,0.5687610895133163,0.526431718061674
glass,LogisticRegression,25,25,proporcion,0.6015037593984962,0.626984126984127,0.5687610895133163,0.526431718061674
glass,LogisticRegression,50,25,proporcion,0.6015037593984962,0.626984126984127,0.5687610895133163,0.526431718061674
glass,LogisticRegression,75,50,entropia,0.4858599988342951,0.5484126984126984,0.40145985401459855,0.35737491877842764
glass,LogisticRegression,75,25,entropia,0.4858599988342951,0.5484126984126984,0.40145985401459855,0.35737491877842764
glass,LogisticRegression,75,75,entropia,0.46278233500840066,0.5365079365079365,0.38032961517498237,0.3341935483870968
glass,LogisticRegression,25,25,entropia,0.3599114064230343,0.5992063492063492,0.3708050311167935,0.32389937106918254
glass,LogisticRegression,50,25,entropia,0.3599114064230343,0.5992063492063492,0.3708050311167935,0.32389937106918254
glass,LogisticRegression,25,75,entropia,0.3599114064230343,0.5992063492063492,0.3708050311167935,0.32389937106918254
glass,LogisticRegression,50,75,entropia,0.3599114064230343,0.5992063492063492,0.3708050311167935,0.32389937106918254
glass,LogisticRegression,50,50,entropia,0.3378618436891014,0.5873015873015873,0.3492562109165445,0.30168644597126804
glass,LogisticRegression,25,50,entropia,0.3378618436891014,0.5873015873015873,0.3492562109165445,0.30168644597126804
