dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
glass,RandomForest,25,25,entropia,0.7032754067637789,0.6904761904761904,0.6036811785654485,0.6009992862241256
glass,RandomForest,25,25,proporcion,0.7128918929239698,0.6587301587301587,0.6222139482259862,0.6189069423929099
glass,RandomForest,25,50,entropia,0.7866087400971122,0.8253968253968255,0.7234037719038247,0.721782890007189
glass,RandomForest,25,50,proporcion,0.7120995283785981,0.6595238095238095,0.6268195862462876,0.6172106824925816
glass,RandomForest,25,75,entropia,0.7209302325581395,0.7301587301587301,0.6312725193553614,0.629842180774749
glass,RandomForest,25,75,proporcion,0.7373285629099583,0.6698412698412698,0.6509094152090774,0.6483271375464683
glass,RandomForest,50,25,entropia,0.7453499305945175,0.7134920634920635,0.6609387020965162,0.6594672426205903
glass,RandomForest,50,25,proporcion,0.7128918929239698,0.6587301587301587,0.6222139482259862,0.6189069423929099
glass,RandomForest,50,50,entropia,0.740156595609683,0.7865079365079365,0.6691705113517047,0.663823738450604
glass,RandomForest,50,50,proporcion,0.7120995283785981,0.6595238095238095,0.6268195862462876,0.6172106824925816
glass,RandomForest,50,75,entropia,0.7231422754678568,0.7579365079365079,0.6422794109796622,0.6366197183098591
glass,RandomForest,50,75,proporcion,0.7373285629099583,0.6698412698412698,0.6509094152090774,0.6483271375464683
glass,RandomForest,75,25,entropia,0.7034083917804848,0.6912698412698411,0.6091373189387825,0.6038270729978739
glass,RandomForest,75,25,proporcion,0.7128918929239698,0.6587301587301587,0.6222139482259862,0.6189069423929099
glass,RandomForest,75,50,entropia,0.7164205733973176,0.7468253968253968,0.6344183195961098,0.6311651179413869
glass,RandomForest,75,50,proporcion,0.7120995283785981,0.6595238095238095,0.6268195862462876,0.6172106824925816
glass,RandomForest,75,75,entropia,0.7189122677494771,0.7468253968253968,0.6398801648476647,0.6343019135364989
glass,RandomForest,75,75,proporcion,0.7373285629099583,0.6698412698412698,0.6509094152090774,0.6483271375464683
