dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
glass,SVM,25,25,proporcion,0.6442456768038164,0.5928571428571429,0.5666669347307466,0.549738219895288
glass,SVM,25,50,proporcion,0.6442456768038164,0.5928571428571429,0.5666669347307466,0.549738219895288
glass,SVM,75,50,proporcion,0.6442456768038164,0.5928571428571429,0.5666669347307466,0.549738219895288
glass,SVM,25,75,proporcion,0.6442456768038164,0.5928571428571429,0.5666669347307466,0.549738219895288
glass,SVM,50,50,proporcion,0.6442456768038164,0.5928571428571429,0.5666669347307466,0.549738219895288
glass,SVM,50,25,proporcion,0.6442456768038164,0.5928571428571429,0.5666669347307466,0.549738219895288
glass,SVM,75,25,proporcion,0.6442456768038164,0.5928571428571429,0.5666669347307466,0.549738219895288
glass,SVM,75,75,proporcion,0.6442456768038164,0.5928571428571429,0.5666669347307466,0.549738219895288
glass,SVM,50,75,proporcion,0.6442456768038164,0.5928571428571429,0.5666669347307466,0.549738219895288
glass,SVM,75,25,entropia,0.5223884642489294,0.6420634920634921,0.4308935728240315,0.39960106382978733
glass,SVM,75,75,entropia,0.5213758905313374,0.6412698412698413,0.44149657719699265,0.40356671070013217
glass,SVM,25,25,entropia,0.5173849406407547,0.6865079365079364,0.44578316224059683,0.40980392156862755
glass,SVM,50,25,entropia,0.5173849406407547,0.6865079365079364,0.44578316224059683,0.40980392156862755
glass,SVM,75,50,entropia,0.4993440667859272,0.6301587301587301,0.42121096177276696,0.38007863695937094
glass,SVM,25,50,entropia,0.49434054317775256,0.6746031746031745,0.4363259201102464,0.39046391752577325
glass,SVM,50,50,entropia,0.49434054317775256,0.6746031746031745,0.4363259201102464,0.39046391752577325
glass,SVM,25,75,entropia,0.4907909715743253,0.6746031746031745,0.425395193390347,0.3861129136924075
glass,SVM,50,75,entropia,0.4907909715743253,0.6746031746031745,0.425395193390347,0.3861129136924075
