dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa,error
glass,XGBoost,25,25,entropia,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,25,25,proporcion,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,25,50,entropia,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,25,50,proporcion,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,25,75,entropia,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,25,75,proporcion,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,50,25,entropia,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,50,25,proporcion,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,50,50,entropia,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,50,50,proporcion,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,50,75,entropia,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,50,75,proporcion,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,75,25,entropia,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,75,25,proporcion,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,75,50,entropia,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,75,50,proporcion,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,75,75,entropia,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
glass,XGBoost,75,75,proporcion,,,,,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 5 6 7]"
