dataset,densidad,riesgo,pureza,f1_score
heart,25,25,entropia,0.5796471953610066
heart,50,25,entropia,0.5796471953610066
heart,75,25,entropia,0.5796471953610066
heart,75,75,entropia,0.5319525010508618
heart,50,75,entropia,0.5319525010508618
heart,25,75,entropia,0.5319525010508618
heart,50,50,entropia,0.5244550770866561
heart,75,50,entropia,0.5244550770866561
heart,25,50,entropia,0.5244550770866561
heart,75,75,proporcion,0.4986145236145236
heart,25,75,proporcion,0.4986145236145236
heart,50,75,proporcion,0.4986145236145236
heart,25,25,proporcion,0.487468671679198
heart,50,25,proporcion,0.487468671679198
heart,75,25,proporcion,0.487468671679198
heart,25,50,proporcion,0.4474684735554301
heart,50,50,proporcion,0.4474684735554301
heart,75,50,proporcion,0.4474684735554301
