dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
heart,LogisticRegression,25,25,entropia,0.5869684434339606,0.4036796536796537,0.3670350379621967,0.3596837944664031
heart,LogisticRegression,25,25,proporcion,0.5980040971612525,0.33555194805194805,0.39444080266909737,0.39072847682119205
heart,LogisticRegression,25,50,entropia,0.5477903091060985,0.41734307359307354,0.3336856984203399,0.3221659524737047
heart,LogisticRegression,25,50,proporcion,0.5774936061381074,0.32775974025974025,0.36001109232460593,0.3545495293590317
heart,LogisticRegression,25,75,entropia,0.5719724598853454,0.38549783549783545,0.3471449554407243,0.33910306845003935
heart,LogisticRegression,25,75,proporcion,0.5542773752012882,0.29918831168831167,0.32798330772225853,0.3227990970654627
heart,LogisticRegression,50,25,entropia,0.5869684434339606,0.4036796536796537,0.3670350379621967,0.3596837944664031
heart,LogisticRegression,50,25,proporcion,0.5980040971612525,0.33555194805194805,0.39444080266909737,0.39072847682119205
heart,LogisticRegression,50,50,entropia,0.5477903091060985,0.41734307359307354,0.3336856984203399,0.3221659524737047
heart,LogisticRegression,50,50,proporcion,0.5774936061381074,0.32775974025974025,0.36001109232460593,0.3545495293590317
heart,LogisticRegression,50,75,entropia,0.5719724598853454,0.38549783549783545,0.3471449554407243,0.33910306845003935
heart,LogisticRegression,50,75,proporcion,0.5542773752012882,0.29918831168831167,0.32798330772225853,0.3227990970654627
heart,LogisticRegression,75,25,entropia,0.5869684434339606,0.4036796536796537,0.3670350379621967,0.3596837944664031
heart,LogisticRegression,75,25,proporcion,0.5980040971612525,0.33555194805194805,0.39444080266909737,0.39072847682119205
heart,LogisticRegression,75,50,entropia,0.5477903091060985,0.41734307359307354,0.3336856984203399,0.3221659524737047
heart,LogisticRegression,75,50,proporcion,0.5774936061381074,0.32775974025974025,0.36001109232460593,0.3545495293590317
heart,LogisticRegression,75,75,entropia,0.5719724598853454,0.38549783549783545,0.3471449554407243,0.33910306845003935
heart,LogisticRegression,75,75,proporcion,0.5542773752012882,0.29918831168831167,0.32798330772225853,0.3227990970654627
