dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
heart,SVM,25,25,entropia,0.3447222222222222,0.26528679653679654,0.11998453761511914,0.10764872521246449
heart,SVM,25,25,proporcion,0.46068081191420857,0.25754870129870133,0.1899809040792347,0.18181818181818188
heart,SVM,25,50,entropia,0.3286496434322521,0.24710497835497836,0.09511189385032182,0.08607863974495222
heart,SVM,25,50,proporcion,0.4613235294117647,0.25754870129870133,0.18979784398368116,0.18032786885245888
heart,SVM,25,75,entropia,0.2617532697066101,0.21017316017316015,0.04325984189443364,0.03787103377686796
heart,SVM,25,75,proporcion,0.4576282051282051,0.2512987012987013,0.18806903722439067,0.1809775429326287
heart,SVM,50,25,entropia,0.3447222222222222,0.26528679653679654,0.11998453761511914,0.10764872521246449
heart,SVM,50,25,proporcion,0.46068081191420857,0.25754870129870133,0.1899809040792347,0.18181818181818188
heart,SVM,50,50,entropia,0.3286496434322521,0.24710497835497836,0.09511189385032182,0.08607863974495222
heart,SVM,50,50,proporcion,0.4613235294117647,0.25754870129870133,0.18979784398368116,0.18032786885245888
heart,SVM,50,75,entropia,0.2617532697066101,0.21017316017316015,0.04325984189443364,0.03787103377686796
heart,SVM,50,75,proporcion,0.4576282051282051,0.2512987012987013,0.18806903722439067,0.1809775429326287
heart,SVM,75,25,entropia,0.3447222222222222,0.26528679653679654,0.11998453761511914,0.10764872521246449
heart,SVM,75,25,proporcion,0.46068081191420857,0.25754870129870133,0.1899809040792347,0.18181818181818188
heart,SVM,75,50,entropia,0.3286496434322521,0.24710497835497836,0.09511189385032182,0.08607863974495222
heart,SVM,75,50,proporcion,0.4613235294117647,0.25754870129870133,0.18979784398368116,0.18032786885245888
heart,SVM,75,75,entropia,0.2617532697066101,0.21017316017316015,0.04325984189443364,0.03787103377686796
heart,SVM,75,75,proporcion,0.4576282051282051,0.2512987012987013,0.18806903722439067,0.1809775429326287
