dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
heart,XGBoost,25,25,entropia,0.5873829431438128,0.3858766233766233,0.3772061736565744,0.375812743823147
heart,XGBoost,50,25,entropia,0.5873829431438128,0.3858766233766233,0.3772061736565744,0.375812743823147
heart,XGBoost,75,25,entropia,0.5873829431438128,0.3858766233766233,0.3772061736565744,0.375812743823147
heart,XGBoost,25,25,proporcion,0.5827228327228328,0.3340097402597403,0.3783770113317744,0.3732970027247957
heart,XGBoost,75,25,proporcion,0.5827228327228328,0.3340097402597403,0.3783770113317744,0.3732970027247957
heart,XGBoost,50,25,proporcion,0.5827228327228328,0.3340097402597403,0.3783770113317744,0.3732970027247957
heart,XGBoost,25,50,entropia,0.5380686759634128,0.40213744588744593,0.30915774838352733,0.3062098501070665
heart,XGBoost,75,50,entropia,0.5380686759634128,0.40213744588744593,0.30915774838352733,0.3062098501070665
heart,XGBoost,50,50,entropia,0.5380686759634128,0.40213744588744593,0.30915774838352733,0.3062098501070665
heart,XGBoost,25,75,proporcion,0.5041366845714672,0.2565746753246753,0.24543669787098027,0.2429022082018928
heart,XGBoost,75,75,proporcion,0.5041366845714672,0.2565746753246753,0.24543669787098027,0.2429022082018928
heart,XGBoost,50,75,proporcion,0.5041366845714672,0.2565746753246753,0.24543669787098027,0.2429022082018928
heart,XGBoost,25,75,entropia,0.496244822715411,0.2456168831168831,0.23603807319465359,0.23371647509578541
heart,XGBoost,50,75,entropia,0.496244822715411,0.2456168831168831,0.23603807319465359,0.23371647509578541
heart,XGBoost,75,75,entropia,0.496244822715411,0.2456168831168831,0.23603807319465359,0.23371647509578541
heart,XGBoost,25,50,proporcion,0.48823529411764705,0.22800324675324676,0.22474273142114642,0.2232142857142858
heart,XGBoost,50,50,proporcion,0.48823529411764705,0.22800324675324676,0.22474273142114642,0.2232142857142858
heart,XGBoost,75,50,proporcion,0.48823529411764705,0.22800324675324676,0.22474273142114642,0.2232142857142858
