dataset,modelo,densidad,riesgo,pureza,f1_score_macro,f1_score_minor,balanced_accuracy,mcc,cohen_kappa
shuttle,LogisticRegression,25,25,entropia,0.7947456075155692,0.7142857142857143,0.9488950032254725,0.8473522255872824,0.838132255284005
shuttle,LogisticRegression,25,25,proporcion,0.8017990230266026,0.5314285714285714,0.9059420708302587,0.8770254972632664,0.8703182596599167
shuttle,LogisticRegression,25,50,entropia,0.7970518449164675,0.7142857142857143,0.9533742493325107,0.8812187689686193,0.8748162473784618
shuttle,LogisticRegression,25,50,proporcion,0.7700287749753458,0.5314285714285714,0.9047892109670822,0.8610157817085755,0.8510054301636668
shuttle,LogisticRegression,25,75,entropia,0.7900566962590643,0.7142857142857143,0.9537198334662945,0.8907384312461684,0.8856618851162275
shuttle,LogisticRegression,25,75,proporcion,0.775572795691514,0.5314285714285714,0.9026502608124105,0.8389895902528759,0.8257752125565017
shuttle,LogisticRegression,50,25,entropia,0.8163123629604309,0.7142857142857143,0.9539951911222916,0.8926197028637508,0.8876536436271764
shuttle,LogisticRegression,50,25,proporcion,0.7000772481421526,0.27619047619047615,0.7584048134929776,0.8282538950953794,0.8150734371942827
shuttle,LogisticRegression,50,50,entropia,0.8068963500790668,0.7142857142857143,0.9536990079912494,0.8881782389514019,0.8826573256544376
shuttle,LogisticRegression,50,50,proporcion,0.7488626622261414,0.4442105263157895,0.8328918564687653,0.8286838392003512,0.8138608815484464
shuttle,LogisticRegression,50,75,entropia,0.8041966769293325,0.7142857142857143,0.9540838454328135,0.8897540197952747,0.8840223872393193
shuttle,LogisticRegression,50,75,proporcion,0.7025818649045725,0.40705882352941175,0.811052260114416,0.8142359875928691,0.7989639197545422
shuttle,LogisticRegression,75,25,entropia,0.8053416646025271,0.7142857142857143,0.9430598562836446,0.8939015214588034,0.8890376686499415
shuttle,LogisticRegression,75,25,proporcion,0.621410249949805,0.27619047619047615,0.6461092683962054,0.862687289484259,0.8571134037747135
shuttle,LogisticRegression,75,50,entropia,0.7903322259506148,0.5645320197044336,0.9351848816622506,0.8878902708303843,0.8834440330967241
shuttle,LogisticRegression,75,50,proporcion,0.7018010426824122,0.37142857142857144,0.7007220368385889,0.8689436140563259,0.8611975837922744
shuttle,LogisticRegression,75,75,entropia,0.7530298267085807,0.7142857142857143,0.9408146765467379,0.8786779326815578,0.8731958430691321
shuttle,LogisticRegression,75,75,proporcion,0.6246799234165002,0.3463659147869674,0.6612279475402421,0.8404333632241706,0.830210389831521
