dataset,modelo,densidad,riesgo,pureza,f1_score_macro,f1_score_minor,balanced_accuracy,mcc,cohen_kappa
shuttle,RandomForest,25,25,entropia,0.9691661853939746,1.0,0.9997798512331426,0.9993536199411192,0.9993535230499824
shuttle,RandomForest,25,25,proporcion,0.9563747836752354,0.7,0.9354180112691883,0.9985445256661659,0.9985440644202591
shuttle,RandomForest,25,50,entropia,0.9649998951395787,1.0,0.9968717617524983,0.998868691868536,0.9988685772180165
shuttle,RandomForest,25,50,proporcion,0.9091642074815558,0.625,0.8848908741694963,0.9978973172780116,0.9978967658088059
shuttle,RandomForest,25,75,entropia,0.9711812149666084,1.0,0.9940810871322553,0.9988683652310129,0.998868289991008
shuttle,RandomForest,25,75,proporcion,0.91563035872107,0.625,0.8904931150658548,0.9982210168487343,0.998220790509098
shuttle,RandomForest,50,25,entropia,0.9691486951928254,1.0,0.9913869357165411,0.999029872890096,0.9990297931112802
shuttle,RandomForest,50,25,proporcion,0.8483460797712263,0.4,0.8457821569274515,0.9985445964028798,0.9985443833819779
shuttle,RandomForest,50,50,entropia,0.969325395124119,1.0,0.9968822075804346,0.9990301636014015,0.9990300859623478
shuttle,RandomForest,50,50,proporcion,0.8469682368155397,0.4,0.8456856337229227,0.9983827716527724,0.998382522136579
shuttle,RandomForest,50,75,entropia,0.9726254744610648,1.0,0.9968822075804346,0.9990301818107691,0.9990300856379568
shuttle,RandomForest,50,75,proporcion,0.8441289382009917,0.4,0.8428740674468073,0.99805927599924,0.9980590265638948
shuttle,RandomForest,75,25,entropia,0.9661061824487142,1.0,0.9857846948201826,0.9987063419639935,0.9987060631399358
shuttle,RandomForest,75,25,proporcion,0.852714574820232,0.4,0.8514871317302661,0.9990299177134139,0.9990298262811028
shuttle,RandomForest,75,50,entropia,0.973491685378543,1.0,0.9997902970610789,0.999515121452303,0.99951508075624
shuttle,RandomForest,75,50,proporcion,0.8527360697191712,0.4,0.8514871317302661,0.9990298426635154,0.999029727053391
shuttle,RandomForest,75,75,entropia,0.9766858227951539,1.0,0.9969996224408361,0.9995149807250074,0.9995149578091347
shuttle,RandomForest,75,75,proporcion,0.8527360697191712,0.4,0.8514871317302661,0.9990298426635154,0.999029727053391
