dataset,modelo,densidad,riesgo,pureza,f1_score_macro,f1_score_minor,balanced_accuracy,mcc,cohen_kappa
shuttle,SVM,25,25,entropia,0.8237429259710796,1.0,0.9888847061751013,0.8751241837467199,0.8675301306705541
shuttle,SVM,25,25,proporcion,0.7695452424985935,0.8125,0.8931645685932719,0.8919580515402501,0.887711475585747
shuttle,SVM,25,50,entropia,0.8098846876225065,1.0,0.9889787186265282,0.8762102664022409,0.8687572452447826
shuttle,SVM,25,50,proporcion,0.7472960372571629,0.8125,0.8877938305683687,0.8767272822564905,0.8709108898111017
shuttle,SVM,25,75,entropia,0.8099872050025427,1.0,0.9890205019382734,0.8766939772006401,0.8693032496628146
shuttle,SVM,25,75,proporcion,0.6748430274770324,0.8125,0.8751391219137659,0.8476340013555389,0.8424993842773787
shuttle,SVM,50,25,entropia,0.814430888049422,0.7222222222222222,0.9606257144490498,0.8752070276500169,0.867648458820317
shuttle,SVM,50,25,proporcion,0.7235007879164256,0.3,0.7990190366421821,0.911316491348953,0.9097543567444515
shuttle,SVM,50,50,entropia,0.8006496749418996,0.7222222222222222,0.9607510643842856,0.8766566692654875,0.8692855475319039
shuttle,SVM,50,50,proporcion,0.7081009590204358,0.3,0.7985264245370952,0.9011875243599499,0.8988041809846867
shuttle,SVM,50,75,entropia,0.7869448009520917,0.7,0.9417138911646029,0.8764729299851632,0.8691251597172605
shuttle,SVM,50,75,proporcion,0.6990761574765385,0.3,0.7935612177056492,0.8863624535612358,0.8840472716083108
shuttle,SVM,75,25,entropia,0.8173817554362168,0.7222222222222222,0.9607923786996745,0.8755992283166322,0.8680628128312791
shuttle,SVM,75,25,proporcion,0.5850600278874352,0.3,0.6308523253581553,0.8564237165633344,0.8530646702878755
shuttle,SVM,75,50,entropia,0.8037470001453129,0.7222222222222222,0.960938620290783,0.8772922169054871,0.8699740985651492
shuttle,SVM,75,50,proporcion,0.5702296501390025,0.3,0.643544475600432,0.888896613426851,0.8884728883037734
shuttle,SVM,75,75,entropia,0.7900164813030476,0.7,0.941891001243164,0.8769873487628431,0.8696770255156205
shuttle,SVM,75,75,proporcion,0.5659164207673403,0.3,0.6389165818317368,0.8682942678262928,0.8678157943583724
