dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
wdbc,LogisticRegression,25,25,entropia,0.9557756825927252,0.9454365079365079,0.9058238738943076,0.904330312185297
wdbc,LogisticRegression,25,25,proporcion,0.9564299597121931,0.9603174603174602,0.9085472857180888,0.9071358748778103
wdbc,LogisticRegression,25,50,entropia,0.9557756825927252,0.9454365079365079,0.9058238738943076,0.904330312185297
wdbc,LogisticRegression,25,50,proporcion,0.9562449933966962,0.9553571428571428,0.9063785942932301,0.9062191510365252
wdbc,LogisticRegression,25,75,entropia,0.9557756825927252,0.9454365079365079,0.9058238738943076,0.904330312185297
wdbc,LogisticRegression,25,75,proporcion,0.9562449933966962,0.9553571428571428,0.9063785942932301,0.9062191510365252
wdbc,LogisticRegression,50,25,entropia,0.9557756825927252,0.9454365079365079,0.9058238738943076,0.904330312185297
wdbc,LogisticRegression,50,25,proporcion,0.9564299597121931,0.9603174603174602,0.9085472857180888,0.9071358748778103
wdbc,LogisticRegression,50,50,entropia,0.9557756825927252,0.9454365079365079,0.9058238738943076,0.904330312185297
wdbc,LogisticRegression,50,50,proporcion,0.9562449933966962,0.9553571428571428,0.9063785942932301,0.9062191510365252
wdbc,LogisticRegression,50,75,entropia,0.9557756825927252,0.9454365079365079,0.9058238738943076,0.904330312185297
wdbc,LogisticRegression,50,75,proporcion,0.9562449933966962,0.9553571428571428,0.9063785942932301,0.9062191510365252
wdbc,LogisticRegression,75,25,entropia,0.9557756825927252,0.9454365079365079,0.9058238738943076,0.904330312185297
wdbc,LogisticRegression,75,25,proporcion,0.9564299597121931,0.9603174603174602,0.9085472857180888,0.9071358748778103
wdbc,LogisticRegression,75,50,entropia,0.9557756825927252,0.9454365079365079,0.9058238738943076,0.904330312185297
wdbc,LogisticRegression,75,50,proporcion,0.9562449933966962,0.9553571428571428,0.9063785942932301,0.9062191510365252
wdbc,LogisticRegression,75,75,entropia,0.9557756825927252,0.9454365079365079,0.9058238738943076,0.904330312185297
wdbc,LogisticRegression,75,75,proporcion,0.9562449933966962,0.9553571428571428,0.9063785942932301,0.9062191510365252
