dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
wdbc,SVM,25,25,entropia,0.9192940207230902,0.8978174603174603,0.8320648228693744,0.8242548818088387
wdbc,SVM,25,25,proporcion,0.9132977370963641,0.9206349206349206,0.8219277191853159,0.8169556840077071
wdbc,SVM,25,50,entropia,0.9376836024305945,0.9216269841269842,0.8687664928166448,0.8646998982706002
wdbc,SVM,25,50,proporcion,0.9304169514695829,0.9345238095238095,0.8544784126535336,0.8521400778210116
wdbc,SVM,25,75,entropia,0.9099722991689752,0.8859126984126984,0.8138146550149407,0.8037190082644627
wdbc,SVM,25,75,proporcion,0.9132977370963641,0.9206349206349206,0.8219277191853159,0.8169556840077071
wdbc,SVM,50,25,entropia,0.9192940207230902,0.8978174603174603,0.8320648228693744,0.8242548818088387
wdbc,SVM,50,25,proporcion,0.9132977370963641,0.9206349206349206,0.8219277191853159,0.8169556840077071
wdbc,SVM,50,50,entropia,0.9376836024305945,0.9216269841269842,0.8687664928166448,0.8646998982706002
wdbc,SVM,50,50,proporcion,0.9304169514695829,0.9345238095238095,0.8544784126535336,0.8521400778210116
wdbc,SVM,50,75,entropia,0.9099722991689752,0.8859126984126984,0.8138146550149407,0.8037190082644627
wdbc,SVM,50,75,proporcion,0.9132977370963641,0.9206349206349206,0.8219277191853159,0.8169556840077071
wdbc,SVM,75,25,entropia,0.9192940207230902,0.8978174603174603,0.8320648228693744,0.8242548818088387
wdbc,SVM,75,25,proporcion,0.9132977370963641,0.9206349206349206,0.8219277191853159,0.8169556840077071
wdbc,SVM,75,50,entropia,0.9376836024305945,0.9216269841269842,0.8687664928166448,0.8646998982706002
wdbc,SVM,75,50,proporcion,0.9304169514695829,0.9345238095238095,0.8544784126535336,0.8521400778210116
wdbc,SVM,75,75,entropia,0.9099722991689752,0.8859126984126984,0.8138146550149407,0.8037190082644627
wdbc,SVM,75,75,proporcion,0.9132977370963641,0.9206349206349206,0.8219277191853159,0.8169556840077071
