dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa,error
wdbc,XGBoost,25,25,entropia,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,25,25,proporcion,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,25,50,entropia,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,25,50,proporcion,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,25,75,entropia,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,25,75,proporcion,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,50,25,entropia,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,50,25,proporcion,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,50,50,entropia,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,50,50,proporcion,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,50,75,entropia,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,50,75,proporcion,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,75,25,entropia,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,75,25,proporcion,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,75,50,entropia,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,75,50,proporcion,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,75,75,entropia,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
wdbc,XGBoost,75,75,proporcion,,,,,"value 0 for Parameter num_class should be greater equal to 1
num_class: Number of output class in the multi-class classification."
