técnica	mean_precision	mean_recall	mean_f1	std_f1	mean_roc_auc	mean_bal_acc	dataset	clasificador
BorderlineSMOTE	0.0	0.0	0.0	0.0	0.6529999999999999	0.5	ecoli	RandomForest
BorderlineSMOTE	0.0	0.0	0.0	0.0	0.5	0.5	ecoli	XGBoost
BorderlineSMOTE	0.0	0.0	0.0	0.0	0.9639999999999999	0.5	ecoli	LogisticRegression
BorderlineSMOTE	0.0	0.0	0.0	0.0	0.006000000000000005	0.5	ecoli	MLP
SMOTE	0.75	0.7333333333333333	0.7314285714285714	0.37410028121903793	1.0	0.8650537634408602	glass	RandomForest
BorderlineSMOTE	0.75	0.7333333333333333	0.7314285714285714	0.37410028121903793	1.0	0.8650537634408602	glass	RandomForest
ADASYN	0.75	0.6666666666666666	0.6714285714285715	0.38225966172170434	1.0	0.8317204301075268	glass	RandomForest
SMOTE	0.52	0.7333333333333333	0.6071428571428571	0.3210315007749176	0.989247311827957	0.856989247311828	glass	XGBoost
ADASYN	0.5366666666666666	0.6666666666666666	0.588095238095238	0.3685172840751591	0.9881720430107528	0.825268817204301	glass	XGBoost
BorderlineSMOTE	0.48666666666666664	0.6666666666666666	0.5595238095238095	0.3399012795189128	0.9881720430107528	0.8236559139784946	glass	XGBoost
ADASYN	0.3890909090909091	1.0	0.5470695970695971	0.1348209290205257	0.9602150537634409	0.9548387096774194	glass	MLP
BorderlineSMOTE	0.3845454545454545	1.0	0.5413553113553113	0.1402196845299967	0.9548387096774194	0.953225806451613	glass	MLP
SMOTE	0.37454545454545457	0.9333333333333332	0.5228937728937729	0.16200045238769212	0.956989247311828	0.921505376344086	glass	MLP
PC-SMOTE	0.7	0.39999999999999997	0.48	0.31874754901018454	0.9817204301075269	0.696774193548387	glass	XGBoost
ADASYN	0.3245454545454545	0.9333333333333332	0.4705627705627705	0.08084466292138591	0.9774193548387096	0.9134408602150538	glass	LogisticRegression
SMOTE	0.3212121212121212	0.9333333333333332	0.4703296703296703	0.027051722252947632	0.9741935483870968	0.9166666666666667	glass	LogisticRegression
BorderlineSMOTE	0.3012121212121212	0.9333333333333332	0.4446886446886447	0.06174524824314458	0.9763440860215054	0.9086021505376344	glass	LogisticRegression
PC-SMOTE	0.5	0.4666666666666666	0.4428571428571429	0.3843892584878203	0.99247311827957	0.7301075268817204	glass	RandomForest
PC-SMOTE	0.4	0.13333333333333333	0.2	0.24494897427831783	0.9537634408602151	0.5666666666666667	glass	LogisticRegression
PC-SMOTE	0.0	0.0	0.0	0.0	0.4569892473118279	0.5	glass	MLP
SMOTE	0.2174292847401039	0.5625	0.31186875548099874	0.0493897863463605	0.5739864864864865	0.5636824324324324	heart	LogisticRegression
ADASYN	0.21366189719130896	0.5375	0.30415973334687524	0.04631672314987588	0.583445945945946	0.5552364864864865	heart	LogisticRegression
BorderlineSMOTE	0.20935717794039171	0.5125	0.29574818529584684	0.051415626611275314	0.5761824324324325	0.5467905405405405	heart	LogisticRegression
ADASYN	0.2114499843516718	0.5	0.29554524840239127	0.033334576542773886	0.5864864864864865	0.55	heart	MLP
SMOTE	0.19723734335391355	0.5	0.2811268966367909	0.018959096455005698	0.5912162162162161	0.5297297297297298	heart	MLP
BorderlineSMOTE	0.19539558480734953	0.45	0.2696062544420753	0.0253916979905797	0.5804054054054053	0.525	heart	MLP
SMOTE	0.19476190476190477	0.1375	0.15972161172161173	0.09415606695900758	0.5858108108108108	0.5106418918918919	heart	XGBoost
ADASYN	0.18305555555555555	0.1375	0.15450732600732603	0.08451618521127702	0.5807432432432432	0.5092905405405406	heart	XGBoost
BorderlineSMOTE	0.18956876456876456	0.125	0.14908775770844734	0.0731248527376933	0.602027027027027	0.5057432432432433	heart	XGBoost
SMOTE	0.21030525030525027	0.1125	0.14491137647959237	0.05852239703554785	0.5950168918918919	0.5076013513513513	heart	RandomForest
