dataset,tecnica,densidad,riesgo,pureza,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa
glass,pcsmote,25,25,entropia,RandomForest,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__max_depth': 10}",0.8591143011303869,0.8611577311577312,0.8262286525257455,0.8248314159041723,0.7708812260536398,0.8523809523809525,0.7064905135838255,0.6978215038650738
glass,pcsmote,25,25,proporcion,RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 10}",0.6815289460941634,0.691056721056721,0.6548074479783461,0.6491491137942574,0.8374039938556067,0.8325396825396826,0.7836588519573281,0.7790014684287813
glass,pcsmote,25,50,entropia,RandomForest,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__max_depth': 10}",0.8534515067748343,0.8544625744625745,0.8194216957055893,0.8170362129943711,0.7988400488400488,0.865079365079365,0.7644830157235802,0.7577464788732394
glass,pcsmote,25,50,proporcion,RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 10}",0.6815289460941634,0.691056721056721,0.6548074479783461,0.6491491137942574,0.8374039938556067,0.8325396825396826,0.7836588519573281,0.7790014684287813
glass,pcsmote,25,75,entropia,RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': None}",0.8492207152190326,0.8513934213934213,0.8147691187495998,0.8130590926760725,0.7769119769119769,0.8690476190476191,0.7082231376930233,0.6999302163293789
glass,pcsmote,25,75,proporcion,RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 10}",0.6815289460941634,0.691056721056721,0.6548074479783461,0.6491491137942574,0.8374039938556067,0.8325396825396826,0.7836588519573281,0.7790014684287813
glass,pcsmote,50,25,entropia,RandomForest,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__max_depth': 10}",0.8683854593729411,0.8705736855736855,0.8379665918628317,0.8366023236977276,0.7708812260536398,0.8523809523809525,0.7064905135838255,0.6978215038650738
glass,pcsmote,50,25,proporcion,RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 10}",0.6815289460941634,0.691056721056721,0.6548074479783461,0.6491491137942574,0.8374039938556067,0.8325396825396826,0.7836588519573281,0.7790014684287813
glass,pcsmote,50,50,entropia,RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': None}",0.8719876547808527,0.8738681688681689,0.8425637025722249,0.8403405739820291,0.7789059174116645,0.8087301587301586,0.7245354353231301,0.7223816355810617
glass,pcsmote,50,50,proporcion,RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 10}",0.6815289460941634,0.691056721056721,0.6548074479783461,0.6491491137942574,0.8374039938556067,0.8325396825396826,0.7836588519573281,0.7790014684287813
glass,pcsmote,50,75,entropia,RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': None}",0.8490580532423311,0.8516174566174566,0.8152404366706311,0.8133687783882791,0.7268102268102269,0.8023809523809523,0.6477619184026285,0.6401673640167362
glass,pcsmote,50,75,proporcion,RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 10}",0.6815289460941634,0.691056721056721,0.6548074479783461,0.6491491137942574,0.8374039938556067,0.8325396825396826,0.7836588519573281,0.7790014684287813
glass,pcsmote,75,25,entropia,RandomForest,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': None}",0.8278097014186663,0.830922040922041,0.8112881631493567,0.8090372731761868,0.7393162393162394,0.7968253968253968,0.6674490560102284,0.6621428571428571
