dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,n_iter,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,search_time_sec,n_jobs_search
shuttle,aumentado,pcsmote,25,25,entropia,211519,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8622528891063328,0.8834558147937008,0.8546192609630285,0.8419249730356488,0.5258224150081079,0.7938675878613594,0.1198962477522965,0.06088216356530407,32.91,1
shuttle,aumentado,pcsmote,25,25,proporcion,162905,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.7768560730444996,0.8697137185551507,0.7863548080806774,0.7572479428178742,0.5352143740041176,0.8517651516999383,0.5584144187469157,0.4759101414305602,17.259,1
shuttle,aumentado,pcsmote,25,50,entropia,211519,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8826242794641975,0.9120422669893822,0.8920280003149507,0.876812881886279,0.5234138631423922,0.8566834513559902,0.3123097520705793,0.07936398188782501,28.513,1
shuttle,aumentado,pcsmote,25,50,proporcion,162905,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8253157603466632,0.8922320246965452,0.8207384862913174,0.7988512713174849,0.6665431856601378,0.9462040463906602,0.5635015948742244,0.4796017630666791,16.334,1
shuttle,aumentado,pcsmote,25,75,entropia,211519,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8499702113415578,0.8803713911820553,0.8554185007853813,0.8426502896088419,0.39949135058375435,0.6432728191092172,0.06855155643349246,0.006495519523886051,28.769,1
shuttle,aumentado,pcsmote,25,75,proporcion,162905,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8142084675918961,0.8847161361912967,0.8095286244199071,0.7927808278082396,0.5146007908698301,0.8030322519499574,0.5568261207420862,0.4712140121531445,18.697,1
shuttle,aumentado,pcsmote,50,25,entropia,211519,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8622528891063328,0.8834558147937008,0.8546192609630285,0.8419249730356488,0.5258224150081079,0.7938675878613594,0.1198962477522965,0.06088216356530407,31.386,1
shuttle,aumentado,pcsmote,50,25,proporcion,162905,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.7768560730444996,0.8697137185551507,0.7863548080806774,0.7572479428178742,0.5352143740041176,0.8517651516999383,0.5584144187469157,0.4759101414305602,17.268,1
shuttle,aumentado,pcsmote,50,50,entropia,211519,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8826242794641975,0.9120422669893822,0.8920280003149507,0.876812881886279,0.5234138631423922,0.8566834513559902,0.3123097520705793,0.07936398188782501,28.577,1
shuttle,aumentado,pcsmote,50,50,proporcion,162905,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8253157603466632,0.8922320246965452,0.8207384862913174,0.7988512713174849,0.6665431856601378,0.9462040463906602,0.5635015948742244,0.4796017630666791,16.322,1
shuttle,aumentado,pcsmote,50,75,entropia,211519,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8499702113415578,0.8803713911820553,0.8554185007853813,0.8426502896088419,0.39949135058375435,0.6432728191092172,0.06855155643349246,0.006495519523886051,28.734,1
shuttle,aumentado,pcsmote,50,75,proporcion,162905,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8142084675918961,0.8847161361912967,0.8095286244199071,0.7927808278082396,0.5146007908698301,0.8030322519499574,0.5568261207420862,0.4712140121531445,18.638,1
shuttle,aumentado,pcsmote,75,25,entropia,182352,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8448264934722496,0.8619479221449201,0.8243136225353408,0.8055860215179269,0.5545033126545228,0.7940863583710946,0.12007967126911118,0.06097511388654231,24.918,1
shuttle,aumentado,pcsmote,75,25,proporcion,133738,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.7765695756714863,0.8561029782637231,0.7434822155154162,0.7029386446625312,0.5638952716505325,0.8519839222096736,0.5585913295736181,0.47606139912532164,14.991,1
shuttle,aumentado,pcsmote,75,50,entropia,182352,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.8724450682302347,0.8942145031576044,0.8737411431884234,0.8533345956123475,0.5520947607888071,0.8569022218657255,0.31269606044650655,0.07945970326845753,25.145,1
shuttle,aumentado,pcsmote,75,50,proporcion,133738,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.842230517892846,0.8942431893410849,0.8165106080991615,0.7918366740659177,0.6952245881594932,0.9464228169003955,0.563677169010068,0.47975171982825504,14.783,1
shuttle,aumentado,pcsmote,75,75,entropia,182352,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.9249513161174832,0.920575670348743,0.907962552850513,0.905076075851152,0.598666437687738,0.8569022218657255,0.32149460697982596,0.07855367383477496,25.418,1
shuttle,aumentado,pcsmote,75,75,proporcion,133738,11600,9,True,2,2,SVM,{'classifier__C': np.float64(1.9352465823520764)},0.7862222531198357,0.8610403372601114,0.7493207387243523,0.7149855797848308,0.6575781279643164,0.9461081653168356,0.5573658811578484,0.4716796508467168,16.574,1
shuttle,base,base,NA,NA,NA,40600,17400,9,True,2,2,SVM,{'classifier__C': np.float64(4.758500101408589)},0.5417581106965813,0.6790925712271411,0.3916049498858501,0.3759719997623936,0.6272265728201428,0.5764372396106415,0.602669521557464,0.6021273098987215,5.697,1
