dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,search_time_sec,n_jobs_search,halving_n_resources,halving_n_candidates
glass,aumentado,pcsmote,25,75,proporcion,171,43,9,False,5,SVM,"{'classifier__C': np.float64(0.0745934328572655), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.000541675458324746), 'classifier__kernel': 'rbf', 'classifier__shrinking': True}",0.10904761904761903,,,,0.08620689655172414,0.16666666666666666,0.0,0.0,0.333,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,50,25,entropia,230,43,9,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.6666950656535168,,,,0.7160745384883316,0.7785714285714285,0.5907387742672537,0.5790209790209789,0.528,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,50,25,proporcion,171,43,9,False,5,SVM,"{'classifier__C': np.float64(0.0745934328572655), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.000541675458324746), 'classifier__kernel': 'rbf', 'classifier__shrinking': True}",0.10904761904761903,,,,0.08620689655172414,0.16666666666666666,0.0,0.0,0.37,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,50,50,entropia,230,43,9,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.6255731020593612,,,,0.6937864401132766,0.7666666666666666,0.5641963517341124,0.5514603616133518,0.564,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,50,50,proporcion,171,43,9,False,5,SVM,"{'classifier__C': np.float64(0.0745934328572655), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.000541675458324746), 'classifier__kernel': 'rbf', 'classifier__shrinking': True}",0.10904761904761903,,,,0.08620689655172414,0.16666666666666666,0.0,0.0,0.32,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,50,75,entropia,230,43,9,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.6630749067585835,,,,0.7071428571428572,0.7785714285714285,0.593856033625614,0.5816539263377345,0.509,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,50,75,proporcion,171,43,9,False,5,SVM,"{'classifier__C': np.float64(0.0745934328572655), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.000541675458324746), 'classifier__kernel': 'rbf', 'classifier__shrinking': True}",0.10904761904761903,,,,0.08620689655172414,0.16666666666666666,0.0,0.0,0.519,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,75,25,entropia,230,43,9,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.6666950656535168,,,,0.7160745384883316,0.7785714285714285,0.5907387742672537,0.5790209790209789,0.554,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,75,25,proporcion,171,43,9,False,5,SVM,"{'classifier__C': np.float64(0.0745934328572655), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.000541675458324746), 'classifier__kernel': 'rbf', 'classifier__shrinking': True}",0.10904761904761903,,,,0.08620689655172414,0.16666666666666666,0.0,0.0,0.389,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,75,50,entropia,230,43,9,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.6255731020593612,,,,0.6937864401132766,0.7666666666666666,0.5641963517341124,0.5514603616133518,0.577,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,75,50,proporcion,171,43,9,False,5,SVM,"{'classifier__C': np.float64(0.0745934328572655), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.000541675458324746), 'classifier__kernel': 'rbf', 'classifier__shrinking': True}",0.10904761904761903,,,,0.08620689655172414,0.16666666666666666,0.0,0.0,0.334,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,75,75,entropia,230,43,9,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.6630749067585835,,,,0.7071428571428572,0.7785714285714285,0.593856033625614,0.5816539263377345,0.59,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,75,75,proporcion,171,43,9,False,5,SVM,"{'classifier__C': np.float64(0.0745934328572655), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.000541675458324746), 'classifier__kernel': 'rbf', 'classifier__shrinking': True}",0.10904761904761903,,,,0.08620689655172414,0.16666666666666666,0.0,0.0,0.358,2,"[20, 60]","[8, 3]"
heart,aumentado,pcsmote,25,25,entropia,547,61,13,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.5062429181132508,,,,0.3341530054644809,0.3748917748917749,0.2878800826183649,0.2823529411764705,1.155,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,25,25,proporcion,302,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.3883174394913841,,,,0.2614858260019551,0.2831168831168831,0.2833816383106201,0.27627118644067805,0.585,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,25,50,entropia,547,61,13,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.4933372878088441,,,,0.37441348681229036,0.4034632034632034,0.3232099110522584,0.31698841698841707,1.323,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,25,50,proporcion,302,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.3876594807029245,,,,0.25643939393939397,0.27705627705627706,0.2732760789514548,0.2641430948419301,0.544,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,25,75,entropia,547,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.4769380473025704,,,,0.3992748117627578,0.4320346320346321,0.3351892741148398,0.3291437549096622,0.789,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,25,75,proporcion,302,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.39198272666278405,,,,0.255425219941349,0.27705627705627706,0.2568689390208228,0.25042372881355934,0.527,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,50,25,entropia,547,61,13,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.5062429181132508,,,,0.3341530054644809,0.3748917748917749,0.2878800826183649,0.2823529411764705,1.22,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,50,25,proporcion,302,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.3883174394913841,,,,0.2614858260019551,0.2831168831168831,0.2833816383106201,0.27627118644067805,0.632,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,50,50,entropia,547,61,13,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.4933372878088441,,,,0.37441348681229036,0.4034632034632034,0.3232099110522584,0.31698841698841707,1.255,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,50,50,proporcion,302,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.3876594807029245,,,,0.25643939393939397,0.27705627705627706,0.2732760789514548,0.2641430948419301,0.675,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,50,75,entropia,547,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.4769380473025704,,,,0.3992748117627578,0.4320346320346321,0.3351892741148398,0.3291437549096622,0.864,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,50,75,proporcion,302,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.39198272666278405,,,,0.255425219941349,0.27705627705627706,0.2568689390208228,0.25042372881355934,0.639,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,75,25,entropia,547,61,13,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.5062429181132508,,,,0.3341530054644809,0.3748917748917749,0.2878800826183649,0.2823529411764705,1.105,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,75,25,proporcion,302,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.3883174394913841,,,,0.2614858260019551,0.2831168831168831,0.2833816383106201,0.27627118644067805,0.605,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,75,50,entropia,547,61,13,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.4933372878088441,,,,0.37441348681229036,0.4034632034632034,0.3232099110522584,0.31698841698841707,1.309,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,75,50,proporcion,302,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.3876594807029245,,,,0.25643939393939397,0.27705627705627706,0.2732760789514548,0.2641430948419301,0.684,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,75,75,entropia,547,61,13,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.4769380473025704,,,,0.3992748117627578,0.4320346320346321,0.3351892741148398,0.3291437549096622,0.778,2,"[54, 162, 486]","[10, 4, 2]"
