Modelo,Técnica,Accuracy,Precision (2),Recall (2),F1-score (2),Precision (4),Recall (4),F1-score (4),Dataset,Precision (1),Recall (1),F1-score (1),Precision (3),Recall (3),F1-score (3),Precision (5),Recall (5),F1-score (5),Precision (6),Recall (6),F1-score (6),Precision (7),Recall (7),F1-score (7)
RandomForest,SMOTE,0.9850187265917604,0.984375,0.984375,0.984375,0.9856115107913668,0.9856115107913668,0.9856115107913668,,,,,,,,,,,,,,,,
RandomForest,ADASYN,0.981132075471698,1.0,0.9612403100775194,0.9802371541501976,0.9645390070921984,1.0,0.9819494584837544,,,,,,,,,,,,,,,,
RandomForest,BorderlineSMOTE,0.99250936329588,1.0,0.984375,0.9921259842519684,0.9858156028368794,1.0,0.9928571428571428,,,,,,,,,,,,,,,,
LogisticRegression,SMOTE,0.9700374531835206,0.9545454545454546,0.984375,0.9692307692307692,0.9851851851851852,0.9568345323741008,0.9708029197080292,,,,,,,,,,,,,,,,
LogisticRegression,ADASYN,0.9849056603773584,1.0,0.9689922480620154,0.984251968503937,0.9714285714285714,1.0,0.9855072463768116,,,,,,,,,,,,,,,,
LogisticRegression,BorderlineSMOTE,0.9850187265917604,1.0,0.96875,0.984126984126984,0.972027972027972,1.0,0.9858156028368794,,,,,,,,,,,,,,,,
KNN,SMOTE,0.9812734082397004,0.9767441860465116,0.984375,0.980544747081712,0.9855072463768116,0.9784172661870504,0.9819494584837544,,,,,,,,,,,,,,,,
KNN,ADASYN,0.981132075471698,1.0,0.9612403100775194,0.9802371541501976,0.9645390070921984,1.0,0.9819494584837544,,,,,,,,,,,,,,,,
KNN,BorderlineSMOTE,0.9887640449438202,1.0,0.9765625,0.9881422924901184,0.9788732394366196,1.0,0.98932384341637,,,,,,,,,,,,,,,,
RandomForest,SMOTE,0.9850187265917604,0.984375,0.984375,0.984375,0.9856115107913668,0.9856115107913668,0.9856115107913668,breast+cancer+wisconsin+original,,,,,,,,,,,,,,,
RandomForest,ADASYN,0.981132075471698,1.0,0.9612403100775194,0.9802371541501976,0.9645390070921984,1.0,0.9819494584837544,breast+cancer+wisconsin+original,,,,,,,,,,,,,,,
