dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,n_iter,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,cv_gmean_macro,cv_auc_ovr_macro,test_gmean_macro,test_auc_ovr_macro,search_time_sec,n_jobs_search
glass,aumentado,pcsmote,25,25,entropia,268,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.8439325255300713,0.8562250712250712,0.8045275748330267,0.8017775288739031,0.7387973137973137,0.8142857142857142,0.6721198260915492,0.6666666666666667,0.8451444804424281,,0.799878270915539,0.9655638397017708,7.833,4
glass,aumentado,pcsmote,25,25,proporcion,171,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6784775289123115,0.7089860139860141,0.5954538720529879,0.5899168684814726,0.7535433702100369,0.8134920634920634,0.6673264598604253,0.6643009226401703,0.4287792356937725,,0.801219234574029,0.9596401204159825,7.311,4
glass,aumentado,pcsmote,25,50,entropia,268,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.8084016190208139,0.8262975912975913,0.7638039758965898,0.760218289560993,0.7097923681257016,0.7865079365079365,0.6416600302794191,0.6368754398311048,0.8104159776391917,,0.7706767021412345,0.9655638397017707,7.84,4
glass,aumentado,pcsmote,25,50,proporcion,171,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6784775289123115,0.7089860139860141,0.5954538720529879,0.5899168684814726,0.7535433702100369,0.8134920634920634,0.6673264598604253,0.6643009226401703,0.4287792356937725,,0.801219234574029,0.9596401204159825,7.389,4
glass,aumentado,pcsmote,25,75,entropia,268,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.8041681304840544,0.8179254079254079,0.7505652098691467,0.7469401263008383,0.7869929453262786,0.8698412698412699,0.7009913515198407,0.6967559943582511,0.8040863913358457,,0.85580031559338,0.9667524667524668,7.471,4
glass,aumentado,pcsmote,25,75,proporcion,171,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6784775289123115,0.7089860139860141,0.5954538720529879,0.5899168684814726,0.7535433702100369,0.8134920634920634,0.6673264598604253,0.6643009226401703,0.4287792356937725,,0.801219234574029,0.9596401204159825,7.045,4
glass,aumentado,pcsmote,50,25,entropia,268,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.005467102793432797), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.87129648817639), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 11, 'classifier__n_estimators': 469}",0.8142844908390743,0.8481274281274281,0.7747361866952265,0.7702504457697635,0.7546897546897546,0.826190476190476,0.6994094627383303,0.695251594613749,0.8336817291853988,,0.8115625398010615,0.9646538780159469,7.72,4
glass,aumentado,pcsmote,50,25,proporcion,171,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6784775289123115,0.7089860139860141,0.5954538720529879,0.5899168684814726,0.7535433702100369,0.8134920634920634,0.6673264598604253,0.6643009226401703,0.4287792356937725,,0.801219234574029,0.9596401204159825,6.998,4
glass,aumentado,pcsmote,50,50,entropia,268,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.8171537672230901,0.8271846671846671,0.7646197906391003,0.7600334996077053,0.749032449032449,0.8134920634920634,0.6719016294426003,0.6669014084507041,0.8107094865129547,,0.801219234574029,0.9657740868947765,7.471,4
glass,aumentado,pcsmote,50,50,proporcion,171,43,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6784775289123115,0.7089860139860141,0.5954538720529879,0.5899168684814726,0.7535433702100369,0.8134920634920634,0.6673264598604253,0.6643009226401703,0.4287792356937725,,0.801219234574029,0.9596401204159825,7.078,4
