dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,n_iter,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,cv_gmean_macro,cv_auc_ovr_macro,test_gmean_macro,test_auc_ovr_macro,search_time_sec,n_jobs_search
glass,aumentado,pcsmote,25,25,entropia,268,43,9,False,5,10,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.728760329813253,0.7430833980833981,0.6577413529500422,0.6542166557439932,0.7201329534662868,0.7952380952380952,0.6011276701468289,0.5851137146795313,0.6072647310938633,,0.7667343201816992,0.9283446473627297,0.328,4
glass,aumentado,pcsmote,25,25,proporcion,171,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6161707045391256,0.683958818958819,0.5220994631802208,0.5099950641599253,0.6915945165945167,0.7999999999999999,0.5467415710599687,0.5306957708049111,0.439075247239247,,0.7611424138410247,0.9165014618126476,0.222,4
glass,aumentado,pcsmote,25,50,entropia,268,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.7147134022099473,0.7314672364672365,0.643232278626939,0.6360409013776762,0.6328282828282829,0.7293650793650794,0.5130013440793564,0.49931506849315077,0.5993940497626904,,0.6966243612166584,0.9173361635094185,0.308,4
glass,aumentado,pcsmote,25,50,proporcion,171,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6161707045391256,0.683958818958819,0.5220994631802208,0.5099950641599253,0.6915945165945167,0.7999999999999999,0.5467415710599687,0.5306957708049111,0.439075247239247,,0.7611424138410247,0.9165014618126476,0.252,4
glass,aumentado,pcsmote,25,75,entropia,268,43,9,False,5,10,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.7094030754820227,0.7254014504014503,0.634748011228788,0.630699241284151,0.7527972027972027,0.834920634920635,0.6257582142215421,0.6128808864265928,0.5874978669084026,,0.8115625398010615,0.9352480409040543,0.344,4
glass,aumentado,pcsmote,25,75,proporcion,171,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6161707045391256,0.683958818958819,0.5220994631802208,0.5099950641599253,0.6915945165945167,0.7999999999999999,0.5467415710599687,0.5306957708049111,0.439075247239247,,0.7611424138410247,0.9165014618126476,0.212,4
glass,aumentado,pcsmote,50,25,entropia,268,43,9,False,5,10,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.7352677164787588,0.7493796943796943,0.6666905853580822,0.6632044942317465,0.6881913148579816,0.7563492063492063,0.5364169859398727,0.5232155232155231,0.6097890338405632,,0.7274157573144809,0.9267162948723083,0.341,4
glass,aumentado,pcsmote,50,25,proporcion,171,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6161707045391256,0.683958818958819,0.5220994631802208,0.5099950641599253,0.6915945165945167,0.7999999999999999,0.5467415710599687,0.5306957708049111,0.439075247239247,,0.7611424138410247,0.9165014618126476,0.226,4
glass,aumentado,pcsmote,50,50,entropia,268,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.7267568828898737,0.7451709401709402,0.6610416021151992,0.6546141881174666,0.6648989898989899,0.7571428571428571,0.5407828091972238,0.5277968428277282,0.6082851648364394,,0.7230200263994838,0.9166998745110604,0.319,4
glass,aumentado,pcsmote,50,50,proporcion,171,43,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.6161707045391256,0.683958818958819,0.5220994631802208,0.5099950641599253,0.6915945165945167,0.7999999999999999,0.5467415710599687,0.5306957708049111,0.439075247239247,,0.7611424138410247,0.9165014618126476,0.225,4
